Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AllProducts, 2, 1, 0.5, 0.51, YELLOW
DeadFeatures, 1, 1, 1.0, 0.69, ORANGE
ErrorDetection, 5, 7, 1.4, 0.82, RED
ErrorDiagnosis, 1, -1, -1.0, 0.0, BLUE
Metamodels, 1, 1, 1.0, 0.69, ORANGE
SPLOT, 1, 1, 1.0, 0.69, ORANGE
SimpleParse, 6, 8, 1.33, 0.8, RED
Solvers, 1, -1, -1.0, 0.0, BLUE
System, 1, 1, 1.0, 0.69, ORANGE
Utils, 4, 6, 1.5, 0.86, RED
ValidConfiguration, 3, 4, 1.33, 0.8, RED
ValidModel, 7, 11, 1.57, 0.88, RED
antlr4-python3-runtime, 1, 1, 1.0, 0.69, ORANGE
lark-parser, 1, 1, 1.0, 0.69, ORANGE
pipdeptree, 2, 1, 0.5, 0.51, YELLOW
pkg-resources, 1, 1, 1.0, 0.69, ORANGE
pyPicosat, 49, 94, 1.92, 1.0, RED
pycosat, 1, 1, 1.0, 0.69, ORANGE
pycryptosat, 1, 1, 1.0, 0.69, ORANGE
pyglucose, 7, 11, 1.57, 0.88, RED
pylgl, 9, 15, 1.67, 0.91, RED
python-sat, 1, 1, 1.0, 0.69, ORANGE
satyrn, 3, 4, 1.33, 0.8, RED
setuptools, 1, -1, -1.0, 0.0, BLUE
wheel, 1, 1, 1.0, 0.69, ORANGE
