Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
APISolvers, 30, 44, 1.47, 1.0, RED
AllProducts, 11, 14, 1.27, 0.92, RED
CoreFeatures, 6, 7, 1.17, 0.88, RED
DeadFeatures, 3, 3, 1.0, 0.81, RED
ErrorDetection, 2, 1, 0.5, 0.61, ORANGE
ErrorDiagnosis, 11, 13, 1.18, 0.88, RED
Metamodels, 6, 6, 1.0, 0.81, RED
ParserTechnology, 1, -1, -1.0, 0.0, BLUE
SPLOT, 7, 7, 1.0, 0.81, RED
Solvers, 2, 1, 0.5, 0.61, ORANGE
System, 1, -1, -1.0, 0.0, BLUE
Utils, 5, 4, 0.8, 0.73, ORANGE
ValidConfiguration, 13, 18, 1.38, 0.97, RED
ValidModel, 18, 24, 1.33, 0.95, RED
ValidProduct, 17, 23, 1.35, 0.95, RED
pipdeptree, 1, -1, -1.0, 0.0, BLUE
pkg-resources, 13, 18, 1.38, 0.97, RED
setuptools, 13, 17, 1.31, 0.94, RED
wheel, 13, 17, 1.31, 0.94, RED
