Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AllProducts, 2, 3, 1.5, 0.5, YELLOW
DeadFeatures, 9, 17, 1.89, 0.89, RED
ErrorDetection, 6, 11, 1.83, 0.83, RED
ErrorDiagnosis, 11, 21, 1.91, 0.91, RED
Metamodels, 5, 9, 1.8, 0.8, RED
SPLOT, 1, 1, 1.0, 0.0, BLUE
SimpleParse, 5, 9, 1.8, 0.8, RED
Solvers, 5, 9, 1.8, 0.8, RED
System, 4, 6, 1.5, 0.5, YELLOW
Utils, 11, 21, 1.91, 0.91, RED
ValidConfiguration, 11, 21, 1.91, 0.91, RED
ValidModel, 5, 9, 1.8, 0.8, RED
antlr4-python3-runtime, 7, 13, 1.86, 0.86, RED
lark-parser, 14, 28, 2.0, 1.0, RED
pipdeptree, 5, 9, 1.8, 0.8, RED
pkg-resources, 9, 17, 1.89, 0.89, RED
pycosat, 5, 8, 1.6, 0.6, ORANGE
pycryptosat, 7, 13, 1.86, 0.86, RED
pyglucose, 6, 11, 1.83, 0.83, RED
pylgl, 5, 9, 1.8, 0.8, RED
python-sat, 5, 9, 1.8, 0.8, RED
satyrn, 1, 1, 1.0, 0.0, BLUE
setuptools, 5, 9, 1.8, 0.8, RED
wheel, 5, 9, 1.8, 0.8, RED
