Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AllProducts, 4, 4, 1.0, 0.6, ORANGE
CoreFeatures, 4, 4, 1.0, 0.6, ORANGE
DeadFeatures, 4, 4, 1.0, 0.6, ORANGE
ErrorDetection, 2, 2, 1.0, 0.6, ORANGE
ErrorDiagnosis, 2, 0, 0.0, 0.0, BLUE
Metamodels, 7, 11, 1.57, 0.94, RED
ParserTechnology, 3, 4, 1.33, 0.8, RED
SPLOT, 7, 10, 1.43, 0.86, RED
Solvers, 4, 4, 1.0, 0.6, ORANGE
System, 2, 1, 0.5, 0.3, GREEN
Utils, 2, 1, 0.5, 0.3, GREEN
ValidConfiguration, 3, 2, 0.67, 0.4, YELLOW
ValidModel, 3, 3, 1.0, 0.6, ORANGE
ValidProduct, 2, 2, 1.0, 0.6, ORANGE
pipdeptree, 2, 1, 0.5, 0.3, GREEN
pkg-resources, 6, 7, 1.17, 0.7, ORANGE
pyPicosat, 3, 4, 1.33, 0.8, RED
pycosat, 6, 9, 1.5, 0.9, RED
pycryptosat, 6, 9, 1.5, 0.9, RED
pydepqbf, 2, 1, 0.5, 0.3, GREEN
pyglucose, 2, 1, 0.5, 0.3, GREEN
pylgl, 11, 18, 1.64, 0.98, RED
python-sat, 7, 11, 1.57, 0.94, RED
satyrn, 3, 4, 1.33, 0.8, RED
setuptools, 7, 10, 1.43, 0.86, RED
umo, 6, 10, 1.67, 1.0, RED
wheel, 9, 14, 1.56, 0.93, RED
