Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AllProducts, 6, 12, 2.0, 1.0, RED
DeadFeatures, 6, 12, 2.0, 1.0, RED
ErrorDetection, 6, 12, 2.0, 1.0, RED
ErrorDiagnosis, 6, 12, 2.0, 1.0, RED
Metamodels, 3, 5, 1.67, 0.0, BLUE
SimpleParse, 5, 10, 2.0, 1.0, RED
Solvers, 5, 10, 2.0, 1.0, RED
System, 3, 5, 1.67, 0.0, BLUE
Utils, 6, 12, 2.0, 1.0, RED
antlr4-python3-runtime, 5, 10, 2.0, 1.0, RED
ebnf, 6, 12, 2.0, 1.0, RED
pipdeptree, 5, 10, 2.0, 1.0, RED
pkg-resources, 6, 11, 1.83, 0.5, YELLOW
pycosat, 5, 10, 2.0, 1.0, RED
pycryptosat, 5, 10, 2.0, 1.0, RED
pyglucose, 5, 10, 2.0, 1.0, RED
pylgl, 5, 10, 2.0, 1.0, RED
python-sat, 5, 10, 2.0, 1.0, RED
satyrn, 5, 10, 2.0, 1.0, RED
setuptools, 6, 12, 2.0, 1.0, RED
wheel, 6, 12, 2.0, 1.0, RED
