Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AllProducts, 3, 2, 0.67, 0.6, ORANGE
CoreFeatures, 2, 1, 0.5, 0.54, YELLOW
DeadFeatures, 2, 2, 1.0, 0.72, ORANGE
ErrorDetection, 1, -1, -1.0, 0.0, BLUE
ErrorDiagnosis, 9, 14, 1.56, 0.92, RED
Metamodels, 2, 2, 1.0, 0.72, ORANGE
ParserTechnology, 3, 3, 1.0, 0.72, ORANGE
SPLOT, 2, 2, 1.0, 0.72, ORANGE
Solvers, 2, 2, 1.0, 0.72, ORANGE
System, 1, -1, -1.0, 0.0, BLUE
Utils, 6, 9, 1.5, 0.9, RED
ValidConfiguration, 7, 9, 1.29, 0.83, RED
ValidModel, 5, 6, 1.2, 0.79, ORANGE
ValidProduct, 3, 4, 1.33, 0.84, RED
pipdeptree, 2, 2, 1.0, 0.72, ORANGE
pkg-resources, 9, 14, 1.56, 0.92, RED
pyPicosat, 2, 2, 1.0, 0.72, ORANGE
pycosat, 3, 4, 1.33, 0.84, RED
pycryptosat, 6, 9, 1.5, 0.9, RED
pydepqbf, 13, 23, 1.77, 1.0, RED
pyglucose, 3, 2, 0.67, 0.6, ORANGE
pylgl, 2, 2, 1.0, 0.72, ORANGE
python-sat, 1, -1, -1.0, 0.0, BLUE
satyrn, 17, 27, 1.59, 0.93, RED
setuptools, 2, 2, 1.0, 0.72, ORANGE
wheel, 1, -1, -1.0, 0.0, BLUE
