Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AllProducts, 2, 2, 1.0, 0.71, ORANGE
CoreFeatures, 2, 1, 0.5, 0.53, YELLOW
DeadFeatures, 14, 23, 1.64, 0.94, RED
ErrorDetection, 3, 4, 1.33, 0.83, RED
ErrorDiagnosis, 3, 2, 0.67, 0.59, YELLOW
Metamodels, 4, 6, 1.5, 0.89, RED
ParserTechnology, 3, 4, 1.33, 0.83, RED
SPLOT, 2, 2, 1.0, 0.71, ORANGE
Solvers, 5, 8, 1.6, 0.92, RED
System, 1, -1, -1.0, 0.0, BLUE
Utils, 4, 6, 1.5, 0.89, RED
ValidConfiguration, 3, 2, 0.67, 0.59, YELLOW
ValidModel, 3, 4, 1.33, 0.83, RED
ValidProduct, 9, 15, 1.67, 0.94, RED
pipdeptree, 3, 3, 1.0, 0.71, ORANGE
pkg-resources, 4, 4, 1.0, 0.71, ORANGE
pyPicosat, 3, 4, 1.33, 0.83, RED
pycosat, 10, 17, 1.7, 0.96, RED
pycryptosat, 3, 4, 1.33, 0.83, RED
pydepqbf, 1, 1, 1.0, 0.71, ORANGE
pyglucose, 3, 4, 1.33, 0.83, RED
pylgl, 5, 8, 1.6, 0.92, RED
python-sat, 4, 4, 1.0, 0.71, ORANGE
satispy, 17, 31, 1.82, 1.0, RED
satyrn, 2, 3, 1.5, 0.89, RED
setuptools, 14, 25, 1.79, 0.99, RED
umo, 5, 8, 1.6, 0.92, RED
wheel, 2, 2, 1.0, 0.71, ORANGE
