Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AllProducts, 5, 10, 2.0, 1.0, RED
DeadFeatures, 5, 10, 2.0, 1.0, RED
ErrorDetection, 5, 10, 2.0, 1.0, RED
ErrorDiagnosis, 5, 10, 2.0, 1.0, RED
Metamodels, 5, 10, 2.0, 1.0, RED
SimpleParse, 5, 10, 2.0, 1.0, RED
Solvers, 5, 9, 1.8, 0.4, YELLOW
System, 5, 10, 2.0, 1.0, RED
Utils, 5, 10, 2.0, 1.0, RED
ValidConfiguration, 5, 10, 2.0, 1.0, RED
antlr4-python3-runtime, 5, 10, 2.0, 1.0, RED
ebnf, 5, 10, 2.0, 1.0, RED
pipdeptree, 5, 10, 2.0, 1.0, RED
pkg-resources, 5, 10, 2.0, 1.0, RED
pycosat, 3, 5, 1.67, 0.0, BLUE
pycryptosat, 4, 8, 2.0, 1.0, RED
pyglucose, 5, 10, 2.0, 1.0, RED
pylgl, 5, 10, 2.0, 1.0, RED
python-sat, 5, 10, 2.0, 1.0, RED
satyrn, 4, 8, 2.0, 1.0, RED
setuptools, 5, 10, 2.0, 1.0, RED
wheel, 5, 10, 2.0, 1.0, RED
