Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
APISolvers, 4, 4, 1.0, 0.82, RED
FeatureIDE, 1, -1, -1.0, 0.0, BLUE
Metamodels, 9, 10, 1.11, 0.86, RED
Operations, 16, 21, 1.31, 0.95, RED
ParserTechnology, 10, 12, 1.2, 0.9, RED
SPLOT, 9, 11, 1.22, 0.91, RED
Solvers, 5, 5, 1.0, 0.82, RED
System, 12, 16, 1.33, 0.95, RED
Utils, 28, 39, 1.39, 0.98, RED
pip, 47, 68, 1.45, 1.0, RED
pkg-resources, 9, 11, 1.22, 0.91, RED
setuptools, 6, 5, 0.83, 0.75, ORANGE
wheel, 3, 2, 0.67, 0.68, ORANGE
