Step, Decisions, Simulations, Evaluations, Tree Size, Positive Evaluations, Time (s), Choice
0, 1, 100, 64, 101, 29, 0.5636932849884033, JHipster
1, 11, 100, 58, 202, 34, 0.5206141471862793, Libsass
2, 10, 100, 42, 303, 25, 0.49766016006469727, Database
3, 12, 100, 29, 404, 22, 0.3979368209838867, Cassandra
4, 8, 100, 10, 505, 6, 0.32523179054260254, SpringWebSockets
5, 7, 100, 7, 606, 3, 0.2663156986236572, ClusteredSession
6, 6, 100, 1, 707, 1, 0.23447418212890625, Authentication
7, 8, 100, 4, 808, 0, 0.2124323844909668, InternationalizationSupport
8, 7, 100, 1, 909, 0, 0.18650031089782715, Docker
9, 6, 100, 0, 1010, 0, 0.16655516624450684, Generator
10, 6, 100, 0, 1111, 0, 0.1515960693359375, BackEnd
11, 7, 100, 0, 1212, 0, 0.13565325736999512, TestingFrameworks
12, 9, 100, 0, 1313, 0, 0.12167620658874512, HTTPSession
13, 6, 100, 0, 1325, 0, 0.1047201156616211, Gradle
14, 4, 100, 0, 1325, 0, 0.08776497840881348, Gatling
15, 3, 100, 0, 1325, 0, 0.06881546974182129, Cucumber
16, 2, 100, 0, 1325, 0, 0.050864219665527344, Protractor
17, 1, 100, 0, 1325, 0, 0.03388261795043945, Application
18, 1, 100, 0, 1325, 0, 0.016980886459350586, Monolithic
