Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AllProducts, 8, 16, 2.0, 1.0, RED
CoreFeatures, 8, 16, 2.0, 1.0, RED
DeadFeatures, 8, 16, 2.0, 1.0, RED
DepMng, 8, 16, 2.0, 1.0, RED
ErrorDetection, 8, 16, 2.0, 1.0, RED
ErrorDiagnosis, 2, 3, 1.5, 0.0, BLUE
Glucose, 7, 14, 2.0, 1.0, RED
Lingeling, 7, 14, 2.0, 1.0, RED
Linux, 7, 14, 2.0, 1.0, RED
MiniSAT, 7, 14, 2.0, 1.0, RED
PicoSAT, 7, 14, 2.0, 1.0, RED
SimpleParse, 8, 16, 2.0, 1.0, RED
Utils, 5, 9, 1.8, 0.6, ORANGE
ValidConfiguration, 8, 16, 2.0, 1.0, RED
antlr4-python3-runtime, 8, 15, 1.88, 0.75, ORANGE
ebnf, 7, 14, 2.0, 1.0, RED
