Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AutomatedReasoning, 14, 28, 2.0, 1.0, RED
DepMng, 2, 3, 1.5, 0.0, BLUE
FeatureIDE, 4, 7, 1.75, 0.5, YELLOW
Linux, 5, 9, 1.8, 0.6, ORANGE
Metamodels, 5, 9, 1.8, 0.6, ORANGE
SPLOT, 9, 17, 1.89, 0.78, ORANGE
SimpleParse, 8, 15, 1.88, 0.75, ORANGE
UVL, 13, 26, 2.0, 1.0, RED
Utils, 2, 3, 1.5, 0.0, BLUE
antlr4-python3-runtime, 2, 3, 1.5, 0.0, BLUE
lark-parser, 13, 26, 2.0, 1.0, RED
pycosat, 14, 28, 2.0, 1.0, RED
pycryptosat, 2, 3, 1.5, 0.0, BLUE
pydepqbf, 2, 3, 1.5, 0.0, BLUE
pyglucose, 5, 9, 1.8, 0.6, ORANGE
python-sat, 2, 3, 1.5, 0.0, BLUE
satispy, 3, 5, 1.67, 0.33, GREEN
satyrn, 9, 17, 1.89, 0.78, ORANGE
