Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AllProducts, 3, 5, 1.67, 0.67, ORANGE
CoreFeatures, 10, 20, 2.0, 1.0, RED
DeadFeatures, 10, 20, 2.0, 1.0, RED
DepMng, 9, 18, 2.0, 1.0, RED
ErrorDetection, 9, 18, 2.0, 1.0, RED
ErrorDiagnosis, 9, 18, 2.0, 1.0, RED
Glucose, 9, 18, 2.0, 1.0, RED
Lingeling, 7, 13, 1.86, 0.86, RED
Linux, 9, 18, 2.0, 1.0, RED
MiniSAT, 7, 13, 1.86, 0.86, RED
PicoSAT, 5, 9, 1.8, 0.8, RED
SimpleParse, 9, 18, 2.0, 1.0, RED
Utils, 9, 18, 2.0, 1.0, RED
antlr4-python3-runtime, 1, 1, 1.0, 0.0, BLUE
ebnf, 9, 18, 2.0, 1.0, RED
