Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
DepMng, 4, 7, 1.75, 0.25, GREEN
FeatureIDE, 7, 13, 1.86, 0.57, YELLOW
Linux, 4, 7, 1.75, 0.25, GREEN
Metamodels, 4, 7, 1.75, 0.25, GREEN
Operations, 7, 13, 1.86, 0.57, YELLOW
SPLOT, 4, 7, 1.75, 0.25, GREEN
SimpleParse, 3, 5, 1.67, 0.0, BLUE
Solvers, 10, 19, 1.9, 0.7, ORANGE
UVL, 6, 11, 1.83, 0.5, YELLOW
Utils, 3, 5, 1.67, 0.0, BLUE
antlr4-python3-runtime, 5, 9, 1.8, 0.4, YELLOW
lark-parser, 14, 28, 2.0, 1.0, RED
pycosat, 10, 19, 1.9, 0.7, ORANGE
pycryptosat, 4, 7, 1.75, 0.25, GREEN
pydepqbf, 4, 7, 1.75, 0.25, GREEN
pyglucose, 5, 9, 1.8, 0.4, YELLOW
python-sat, 4, 7, 1.75, 0.25, GREEN
satispy, 5, 9, 1.8, 0.4, YELLOW
satyrn, 14, 27, 1.93, 0.79, ORANGE
