Features, Products, Distinct Products
15, 1, 1
16, 2, 2
17, 2, 2
18, 4, 4
19, 9, 8
20, 1, 1
22, 2, 2
23, 1, 1
25, 2, 2
26, 1, 1
27, 5, 5
