Step, Decisions, Simulations, Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 42, 101, 0.030918121337890625, AAFMFramework
1, 3, 100, 11, 202, 0.033941030502319336, Packages
2, 6, 100, 5, 253, 0.036896467208862305, pyPicosat
3, 5, 100, 0, 253, 0.031915903091430664, python-sat
4, 4, 100, 0, 253, 0.02889418601989746, pycosat
5, 3, 100, 0, 253, 0.02396416664123535, System
6, 3, 100, 0, 253, 0.021941423416137695, Linux
