Framework,Message Size (b),Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W),Output
java.util.logging,1,0.114799999999999,15.4791716666666,2.42081008939,20.8397324936411,console
java.util.logging,10,0.112219999999999,15.9853099999999,2.43505652772,21.5440859415953,console
java.util.logging,100,0.115513,15.4724955555555,2.43626445378,21.0068582076173,console
java.util.logging,1000,0.114823,15.8505284210526,2.44512937857,21.1049097085632,console
java.util.logging,10000,0.120316,17.5175683333333,2.65490172626999,22.4700077090328,console
java.util.logging,100000,0.132617,16.312241,2.86615678720999,21.7113589217068,console
java.util.logging,1000000,0.22488,13.6782022857142,4.20800999199999,18.5540985838494,console
java.util.logging,10000000,0.987226,7.98696623376622,11.0928958769699,11.4057205751856,console
java.util.logging,100000000,8.48721499999998,6.49021276737968,80.4693221660199,9.52335806471341,console
java.util.logging,1000000000,90.6533629999993,9.24051515198411,1039.74382859683,11.3113001288679,console
Log4J,1,0.124459,15.4957149999999,2.50393396249,20.0495205154307,console
Log4J,10,0.126718,15.917195,2.54451921502999,20.276472358396,console
Log4J,100,0.121687,15.7933170588235,2.52083728084,20.7311575098408,console
Log4J,1000,0.128391,15.5416116666666,2.5497010886,20.1986242909549,console
Log4J,10000,0.128496,16.2767961111111,2.72135277165,21.1502683548126,console
Log4J,100000,0.143963999999999,16.280762,3.00412449469999,20.558166272603,console
Log4J,1000000,0.233954,13.7950617647058,4.20083988276,17.8976343126853,console
Log4J,10000000,1.000375,8.71186294520548,11.6736143026699,11.8131397236161,console
Log4J,100000000,8.74909200000001,8.10298918735889,93.5549972811897,10.6957866089261,console
Log4J,1000000000,90.0489289999998,10.1121659883415,1045.76830342123,11.4891854368015,console
LogBack classic,1,0.158658999999999,15.8326395652173,3.27932514025999,20.4865177129508,console
LogBack classic,10,0.15803,16.133462173913,3.32024812749,20.7829850617183,console
LogBack classic,100,0.157302999999999,16.2419595652173,3.26541314617,20.7999096019783,console
LogBack classic,1000,0.161515,15.9889795652173,3.25075135673,20.399437579628,console
LogBack classic,10000,0.164806999999999,17.4142827272727,3.50291584383,21.1693889922151,console
LogBack classic,100000,0.179056,16.3973657692307,3.72270930170999,20.7118156951862,console
LogBack classic,1000000,0.234760999999999,16.4406369696969,4.80900076502,20.6140782441323,console
LogBack classic,10000000,0.611285,15.5995997674418,12.06556541609,19.6023069633896,console
LogBack classic,100000000,4.471834,16.5581628837876,89.26491868411,19.961590408792,console
LogBack classic,1000000000,46.8748909999999,19.6668022526949,967.504986972296,21.2063468238874,console
Simple implementation,1,0.091432,15.0412053846153,1.74713586253999,18.8017720130429,console
Simple implementation,10,0.096253,14.553475,1.77188889594,18.4766064325839,console
Simple implementation,100,0.093723,14.7998715384615,1.78602522332,19.0736101220546,console
Simple implementation,1000,0.095705,15.084282,1.77776931233,18.5588028356741,console
Simple implementation,10000,0.108624,15.4948726666666,1.92688224416,18.6788693481355,console
Simple implementation,100000,0.132154,14.3038884210526,2.31549800353,17.8376318432283,console
Simple implementation,1000000,0.228164,12.5818984375,3.58608945861,15.713191903806,console
Simple implementation,10000000,1.05444399999999,7.33602743589743,9.96963621470999,9.48408204856559,console
Simple implementation,100000000,9.28214900000001,6.12672218978101,76.9983435599299,8.29531432429384,console
Simple implementation,1000000000,87.2975499999993,7.7706210598957,880.02063837045,10.1503613696494,console
java.util.logging,1,0.128298,15.1547427777777,2.44035569038,19.469422507963,file
java.util.logging,10,0.126438,15.2316127777777,2.41172775766,19.118238828754,file
java.util.logging,100,0.126367999999999,15.4051777777777,2.44612564844,19.3076383116844,file
java.util.logging,1000,0.126883,15.2525983333333,2.47877460599,19.2295220216661,file
java.util.logging,10000,0.137108999999999,15.788535,2.68846833368999,19.8528729577927,file
java.util.logging,100000,0.145221,16.1468528571428,2.93250682901,20.1934074893438,file
java.util.logging,1000000,0.19875,16.9543844444444,4.18658675926,21.0855934931907,file
java.util.logging,10000000,0.536944,17.6546122077922,11.3856606269499,20.5362571185174,file
java.util.logging,100000000,3.71332499999999,18.4508648543689,81.23831674709,21.8594500630639,file
java.util.logging,1000000000,40.720106,20.476428621268,918.664075848259,22.4561099555995,file
Log4J,1,0.125153,16.2378242105263,2.6494305071,21.3355337171302,file
Log4J,10,0.129307999999999,16.0778938095238,2.67350734235999,20.4981950761401,file
Log4J,100,0.128494,15.8673810526315,2.65913869425999,20.6946526239357,file
Log4J,1000,0.129224,15.8489621052631,2.70523620617,20.9255477415702,file
Log4J,10000,0.14708,15.3064963636363,2.88036388019,19.6662281775224,file
Log4J,100000,0.153943,15.7667999999999,3.12639604279,19.4104881273241,file
Log4J,1000000,0.203653999999999,16.5560437931034,4.28927085563999,21.0823249733379,file
Log4J,10000000,0.543418999999999,17.8013528205128,11.6965230434599,21.323318627002,file
Log4J,100000000,3.750992,18.4318740535714,84.6484707734,21.9546432162654,file
Log4J,1000000000,41.934987,20.9232002547028,937.69816316493,22.6956400909765,file
LogBack classic,1,0.230027,17.7348331249999,5.18324214058,22.3717435185401,file
LogBack classic,10,0.225643999999999,17.477349375,5.15053884773999,22.6387360895784,file
LogBack classic,100,0.235694,17.7224764516129,4.99556170054,21.3768957515573,file
LogBack classic,1000,0.227682,17.8848942424242,5.23710917252999,23.0909030375566,file
LogBack classic,10000,0.234674999999999,17.9084044117647,5.37398722336999,22.7653622150935,file
LogBack classic,100000,0.251054,17.9906139999999,5.61772292136,22.2104133924157,file
LogBack classic,1000000,0.298638999999999,17.9873888636363,6.73691440652,22.5685615874741,file
LogBack classic,10000000,0.625859,18.3942757777777,13.9506138994399,22.2903463870296,file
LogBack classic,100000000,4.28076099999999,17.7268655455904,90.7373820887101,21.2050990196647,file
LogBack classic,1000000000,46.1089769999999,20.7244241185805,1017.79175294211,21.3784126026118,file
Simple implementation,1,0.098209,14.5050257142857,1.82283679483,19.0169332132169,file
Simple implementation,10,0.096007,14.9207276923076,1.76452648047999,18.66565489365,file
Simple implementation,100,0.096048,15.0463573333333,1.79707188555999,18.6584980740594,file
Simple implementation,1000,0.097377,14.7251007142857,1.86190524044999,19.1894490772547,file
Simple implementation,10000,0.112073,13.7174364705882,1.98730407568,18.1352794019076,file
Simple implementation,100000,0.119397999999999,15.5559394117647,2.31153287442,19.6100047738655,file
Simple implementation,1000000,0.169452,16.2129399999999,3.56050115843,21.1620159145096,file
Simple implementation,10000000,0.486358999999999,16.1712444927536,9.97774531246999,20.5151859274116,file
Simple implementation,100000000,3.551793,16.7922271715328,72.5816912550901,21.1556767265407,file
Simple implementation,1000000000,36.5551440000001,19.1989228254023,820.602111487648,22.5417769555197,file
