Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
Authentication, 2, 0, 0.0, 0.54, YELLOW
Cassandra, 157, 133, 0.85, 1.0, RED
ClusteredSession, 14, 6, 0.43, 0.77, ORANGE
Docker, 2, 0, 0.0, 0.54, YELLOW
Generator, 1, -1, -1.0, 0.0, BLUE
Gradle, 1, -1, -1.0, 0.0, BLUE
InternationalizationSupport, 5, 1, 0.2, 0.65, ORANGE
Libsass, 13, 5, 0.38, 0.75, ORANGE
Maven, 2, 0, 0.0, 0.54, YELLOW
MongoDB, 14, 6, 0.43, 0.77, ORANGE
SQL, 2, 0, 0.0, 0.54, YELLOW
SocialLogin, 1, -1, -1.0, 0.0, BLUE
SpringWebSockets, 1, -1, -1.0, 0.0, BLUE
TestingFrameworks, 1, -1, -1.0, 0.0, BLUE
