Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AutomatedReasoning, 10, 19, 1.9, 0.9, RED
DepMng, 9, 16, 1.78, 0.78, ORANGE
Interoperability, 10, 19, 1.9, 0.9, RED
Metamodels, 10, 19, 1.9, 0.9, RED
SimpleParse, 9, 17, 1.89, 0.89, RED
System, 10, 19, 1.9, 0.9, RED
Utils, 1, 1, 1.0, 0.0, BLUE
antlr4-python3-runtime, 14, 27, 1.93, 0.93, RED
lark-parser, 18, 36, 2.0, 1.0, RED
pycosat, 10, 19, 1.9, 0.9, RED
pycryptosat, 10, 19, 1.9, 0.9, RED
pydepqbf, 9, 17, 1.89, 0.89, RED
pyglucose, 10, 19, 1.9, 0.9, RED
pylgl, 10, 18, 1.8, 0.8, RED
python-sat, 10, 19, 1.9, 0.9, RED
satispy, 12, 23, 1.92, 0.92, RED
satyrn, 10, 19, 1.9, 0.9, RED
umo, 18, 36, 2.0, 1.0, RED
