Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
CNFModel, 2, 3, 1.5, 0.0, BLUE
DecisionModel, 7, 13, 1.86, 0.71, ORANGE
DepMng, 6, 12, 2.0, 1.0, RED
FeatureIDE, 7, 14, 2.0, 1.0, RED
FeatureModel, 7, 14, 2.0, 1.0, RED
Linux, 6, 12, 2.0, 1.0, RED
Operations, 7, 14, 2.0, 1.0, RED
SPLOT, 7, 13, 1.86, 0.71, ORANGE
SimpleParse, 6, 12, 2.0, 1.0, RED
Solvers, 2, 3, 1.5, 0.0, BLUE
UVL, 7, 14, 2.0, 1.0, RED
Utils, 6, 12, 2.0, 1.0, RED
antlr4-python3-runtime, 3, 5, 1.67, 0.33, GREEN
ebnf, 6, 12, 2.0, 1.0, RED
pycryptosat, 4, 7, 1.75, 0.5, YELLOW
pydepqbf, 7, 14, 2.0, 1.0, RED
pyglucose, 7, 14, 2.0, 1.0, RED
satispy, 7, 14, 2.0, 1.0, RED
satyrn, 7, 14, 2.0, 1.0, RED
