Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AutomatedReasoning, 3, 4, 1.33, 0.6, ORANGE
DepMng, 2, 2, 1.0, 0.36, GREEN
Interoperability, 6, 9, 1.5, 0.72, ORANGE
Metamodels, 3, 4, 1.33, 0.6, ORANGE
SimpleParse, 16, 27, 1.69, 0.85, RED
System, 3, 4, 1.33, 0.6, ORANGE
Utils, 2, 1, 0.5, 0.0, BLUE
antlr4-python3-runtime, 19, 33, 1.74, 0.89, RED
lark-parser, 28, 49, 1.75, 0.9, RED
pyPicosat, 87, 165, 1.9, 1.0, RED
pycosat, 2, 2, 1.0, 0.36, GREEN
pycryptosat, 10, 15, 1.5, 0.72, ORANGE
pydepqbf, 5, 7, 1.4, 0.64, ORANGE
pyglucose, 28, 50, 1.79, 0.92, RED
pylgl, 12, 20, 1.67, 0.84, RED
python-sat, 4, 5, 1.25, 0.54, YELLOW
satispy, 6, 9, 1.5, 0.72, ORANGE
satyrn, 18, 31, 1.72, 0.88, RED
umo, 12, 20, 1.67, 0.84, RED
