Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AllProducts, 9, 18, 2.0, 1.0, RED
CoreFeatures, 9, 18, 2.0, 1.0, RED
DepMng, 9, 18, 2.0, 1.0, RED
ErrorDetection, 9, 18, 2.0, 1.0, RED
ErrorDiagnosis, 9, 18, 2.0, 1.0, RED
Glucose, 9, 18, 2.0, 1.0, RED
Lingeling, 4, 7, 1.75, 0.75, ORANGE
Linux, 9, 18, 2.0, 1.0, RED
MiniSAT, 9, 18, 2.0, 1.0, RED
PicoSAT, 1, 1, 1.0, 0.0, BLUE
SimpleParse, 9, 17, 1.89, 0.89, RED
Utils, 9, 18, 2.0, 1.0, RED
antlr4-python3-runtime, 9, 18, 2.0, 1.0, RED
ebnf, 9, 18, 2.0, 1.0, RED
