Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AutomatedReasoning, 5, 9, 1.8, 0.8, RED
DepMng, 5, 9, 1.8, 0.8, RED
FeatureIDE, 4, 7, 1.75, 0.75, ORANGE
Metamodels, 10, 19, 1.9, 0.9, RED
SPLOT, 10, 20, 2.0, 1.0, RED
SimpleParse, 3, 5, 1.67, 0.67, ORANGE
System, 10, 20, 2.0, 1.0, RED
UVL, 7, 13, 1.86, 0.86, RED
Utils, 7, 13, 1.86, 0.86, RED
antlr4-python3-runtime, 10, 19, 1.9, 0.9, RED
lark-parser, 10, 20, 2.0, 1.0, RED
pycosat, 2, 3, 1.5, 0.5, YELLOW
pycryptosat, 1, 1, 1.0, 0.0, BLUE
pydepqbf, 6, 11, 1.83, 0.83, RED
pyglucose, 4, 7, 1.75, 0.75, ORANGE
python-sat, 10, 20, 2.0, 1.0, RED
satispy, 10, 20, 2.0, 1.0, RED
satyrn, 4, 7, 1.75, 0.75, ORANGE
