Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AutomatedReasoning, 7, 13, 1.86, 0.71, ORANGE
DepMng, 3, 5, 1.67, 0.33, GREEN
Interoperability, 4, 7, 1.75, 0.5, YELLOW
Metamodels, 4, 7, 1.75, 0.5, YELLOW
SimpleParse, 2, 3, 1.5, 0.0, BLUE
System, 9, 17, 1.89, 0.78, ORANGE
Utils, 5, 9, 1.8, 0.6, ORANGE
antlr4-python3-runtime, 13, 26, 2.0, 1.0, RED
lark-parser, 13, 26, 2.0, 1.0, RED
pycosat, 6, 11, 1.83, 0.67, ORANGE
pycryptosat, 6, 11, 1.83, 0.67, ORANGE
pydepqbf, 13, 26, 2.0, 1.0, RED
pyglucose, 4, 7, 1.75, 0.5, YELLOW
pylgl, 13, 26, 2.0, 1.0, RED
python-sat, 3, 5, 1.67, 0.33, GREEN
satispy, 4, 7, 1.75, 0.5, YELLOW
satyrn, 12, 23, 1.92, 0.83, RED
