Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
CoreFeatures, 4, 7, 1.75, 0.0, BLUE
DepMng, 11, 22, 2.0, 1.0, RED
ErrorDetection, 11, 22, 2.0, 1.0, RED
ErrorDiagnosis, 11, 22, 2.0, 1.0, RED
Glucose, 7, 13, 1.86, 0.43, YELLOW
Lingeling, 10, 20, 2.0, 1.0, RED
Linux, 10, 20, 2.0, 1.0, RED
MiniSAT, 10, 20, 2.0, 1.0, RED
PicoSAT, 10, 20, 2.0, 1.0, RED
SimpleParse, 4, 7, 1.75, 0.0, BLUE
Utils, 10, 20, 2.0, 1.0, RED
antlr4-python3-runtime, 10, 20, 2.0, 1.0, RED
ebnf, 10, 20, 2.0, 1.0, RED
