Run, Algorithm, Iterations, Time, Features in Config, Valid Config, Reward, Nodes, Configuration
1, UCTAlgorithm, 10, 2.5905001163482666, 45, False, -1, 495, ['CNFModel', 'pip', 'setuptools', 'Glucose-python-sat', 'pyPicosat', 'MiniSAT-umo', 'DecisionModel', 'Glucose', 'PicoSAT', 'AAFMFramework', 'DeadFeatures', 'Metamodels', 'AutomatedReasoning', 'Lingeling-python-sat', 'Lingeling-satispy', 'Glucose-pyglucose', 'Lingeling', 'DepMng', 'Linux', 'AllProducts', 'pylgl', 'pipdeptree', 'ValidConfiguration', 'System', 'ValidModel', 'Operations', 'MiniSAT-python-sat', 'FeatureModel', 'ValidProduct', 'ErrorDiagnosis', 'APISolvers', 'python-sat', 'pycosat', 'wheel', 'PicoSAT-pycosat', 'Solvers', 'Packages', 'pkg-resources', 'CoreFeatures', 'Interoperability', 'PicoSAT-pyPicosat', 'ErrorDetection', 'MiniSAT', 'Lingeling-pylgl', 'MiniSAT-satispy']
2, UCTAlgorithm, 10, 2.1319003105163574, 39, False, -1, 429, ['Lingeling', 'AAFMFramework', 'CNFModel', 'python-sat', 'Solvers', 'PicoSAT-pycosat', 'SPLOT', 'setuptools', 'UVL', 'MiniSAT-satispy', 'Interoperability', 'MiniSAT', 'Lingeling-pylgl', 'FeatureIDE', 'APISolvers', 'Metamodels', 'pip', 'System', 'Lingeling-python-sat', 'DepMng', 'PicoSAT-pyPicosat', 'PicoSAT', 'Packages', 'Linux', 'pyPicosat', 'FeatureModel', 'Glucose', 'Glucose-python-sat', 'Glucose-pyglucose', 'pycosat', 'pylgl', 'DecisionModel', 'MiniSAT-python-sat', 'pipdeptree', 'AutomatedReasoning', 'MiniSAT-umo', 'Lingeling-satispy', 'Operations', 'pkg-resources']
3, UCTAlgorithm, 10, 2.316603183746338, 38, False, -1, 418, ['MiniSAT-satispy', 'python-sat', 'FeatureIDE', 'pylgl', 'AutomatedReasoning', 'Packages', 'Glucose-python-sat', 'pyPicosat', 'MiniSAT-python-sat', 'PicoSAT-pycosat', 'Linux', 'Lingeling', 'FeatureModel', 'ValidConfiguration', 'Solvers', 'Lingeling-pylgl', 'Glucose-pyglucose', 'APISolvers', 'Metamodels', 'AAFMFramework', 'Lingeling-satispy', 'Lingeling-python-sat', 'DecisionModel', 'MiniSAT', 'ParserTechnology', 'SPLOT', 'Operations', 'DepMng', 'PicoSAT-pyPicosat', 'CNFModel', 'UVL', 'MiniSAT-umo', 'pycosat', 'Utils', 'System', 'Interoperability', 'PicoSAT', 'Glucose']
4, UCTAlgorithm, 10, 0.7827856540679932, 19, False, -1, 209, ['AAFMFramework', 'Utils', 'DecisionModel', 'satyrn', 'APISolvers', 'Linux', 'Packages', 'Metamodels', 'six', 'SimpleParse', 'lark-parser', 'ParserTechnology', 'System', 'DepMng', 'FeatureModel', 'antlr4-python3-runtime', 'ebnf', 'CNFModel', 'pybind11']
5, UCTAlgorithm, 10, 2.593660831451416, 51, False, -1, 561, ['Linux', 'AllProducts', 'System', 'CNFModel', 'FeatureIDE', 'MiniSAT-satispy', 'ErrorDetection', 'ValidModel', 'pipdeptree', 'Glucose-pyglucose', 'APISolvers', 'AutomatedReasoning', 'ErrorDiagnosis', 'DeadFeatures', 'UVL', 'AAFMFramework', 'Glucose', 'pycosat', 'pkg-resources', 'FeatureModel', 'PicoSAT-pyPicosat', 'Operations', 'PicoSAT', 'pyPicosat', 'DecisionModel', 'DepMng', 'wheel', 'CoreFeatures', 'Lingeling-satispy', 'python-sat', 'Solvers', 'ValidProduct', 'PicoSAT-pycosat', 'Glucose-python-sat', 'Metamodels', 'satispy', 'MiniSAT', 'setuptools', 'ValidConfiguration', 'MiniSAT-umo', 'Lingeling-pylgl', 'Interoperability', 'Lingeling', 'pylgl', 'pycryptosat', 'pyglucose', 'MiniSAT-python-sat', 'pip', 'SPLOT', 'Lingeling-python-sat', 'Packages']
6, UCTAlgorithm, 10, 0.7236936092376709, 15, True, 1, 165, ['DepMng', 'pyPicosat', 'Metamodels', 'setuptools', 'Linux', 'Packages', 'pkg-resources', 'FeatureModel', 'CNFModel', 'pip', 'APISolvers', 'System', 'AAFMFramework', 'wheel', 'DecisionModel']
7, UCTAlgorithm, 10, 2.0663328170776367, 40, False, -1, 440, ['MiniSAT-python-sat', 'PicoSAT-pyPicosat', 'PicoSAT', 'APISolvers', 'Linux', 'setuptools', 'Glucose-pyglucose', 'pycosat', 'System', 'MiniSAT-umo', 'pylgl', 'DepMng', 'Lingeling', 'SPLOT', 'AutomatedReasoning', 'pip', 'Lingeling-satispy', 'Glucose', 'Lingeling-pylgl', 'wheel', 'UVL', 'Lingeling-python-sat', 'Solvers', 'Interoperability', 'FeatureModel', 'pyPicosat', 'Metamodels', 'Packages', 'FeatureIDE', 'pkg-resources', 'AAFMFramework', 'Operations', 'MiniSAT-satispy', 'PicoSAT-pycosat', 'DecisionModel', 'pipdeptree', 'python-sat', 'CNFModel', 'Glucose-python-sat', 'MiniSAT']
8, UCTAlgorithm, 10, 0.5810208320617676, 13, False, -1, 143, ['Metamodels', 'CNFModel', 'Linux', 'DecisionModel', 'ParserTechnology', 'lark-parser', 'ebnf', 'Packages', 'APISolvers', 'System', 'AAFMFramework', 'DepMng', 'FeatureModel']
9, UCTAlgorithm, 10, 2.3847861289978027, 47, False, -1, 517, ['Lingeling', 'Glucose-python-sat', 'AllProducts', 'Solvers', 'ErrorDiagnosis', 'pkg-resources', 'pybind11', 'Glucose', 'PicoSAT-pyPicosat', 'CoreFeatures', 'PicoSAT-pycosat', 'ErrorDetection', 'six', 'pipdeptree', 'DepMng', 'AutomatedReasoning', 'antlr4-python3-runtime', 'CNFModel', 'MiniSAT-python-sat', 'Packages', 'MiniSAT-satispy', 'Metamodels', 'MiniSAT', 'setuptools', 'pip', 'FeatureModel', 'ValidModel', 'wheel', 'Utils', 'PicoSAT', 'Operations', 'DeadFeatures', 'ParserTechnology', 'AAFMFramework', 'Lingeling-satispy', 'Lingeling-python-sat', 'Linux', 'ValidConfiguration', 'MiniSAT-umo', 'ValidProduct', 'System', 'lark-parser', 'ebnf', 'Lingeling-pylgl', 'DecisionModel', 'APISolvers', 'Glucose-pyglucose']
10, UCTAlgorithm, 10, 1.3531434535980225, 23, False, -1, 253, ['DecisionModel', 'SPLOT', 'Linux', 'MiniSAT', 'APISolvers', 'Packages', 'MiniSAT-satispy', 'Operations', 'Glucose', 'UVL', 'AutomatedReasoning', 'FeatureIDE', 'System', 'FeatureModel', 'CNFModel', 'MiniSAT-umo', 'MiniSAT-python-sat', 'Solvers', 'Metamodels', 'python-sat', 'Interoperability', 'AAFMFramework', 'pyPicosat']
