Iterations, Runs, Valid Configs, Invalid configs, Features min, Features max, Features median, Features mean, Features std, Rewards min, Rewards max, Rewards median, Rewards mean, Rewards std, Nodes min, Nodes max, Nodes median, Nodes mean, Nodes std, Times min, Times max, Times median, Times mean, Times std
1, 30, 7, 0, 8, 62, 29.0, 32.766666666666666, 16.175083719515435, -1.0, 2.0, -1.0, -0.7, 0.9153857298880941, 16, 124, 58.0, 65.53333333333333, 32.35016743903087, 0.06818628311157227, 0.6256587505340576, 0.27140188217163086, 0.3027015447616577, 0.160858295999842
10, 30, 7, 0, 10, 53, 27.0, 31.566666666666666, 13.76573290089745, -1.0, 2.0, -1.0, -0.6, 0.9321831993987981, 110, 583, 297.0, 347.23333333333335, 151.42306190987196, 0.48256897926330566, 2.87296986579895, 1.4039627313613892, 1.6465100526809693, 0.8030833026015962
25, 30, 7, 0, 14, 59, 25.5, 30.1, 13.450676178362649, -1.0, 2.0, 0.0, 0.13333333333333333, 1.1957780134587124, 364, 1460, 663.0, 778.4, 340.7785811627696, 1.3314518928527832, 10.33867859840393, 3.59836745262146, 4.166605504353841, 2.5001836892496603
100, 30, 7, 0, 14, 57, 21.0, 25.666666666666668, 12.06114689272194, -1.0, 2.0, 1.0, 0.7333333333333333, 0.9444331755018487, 1414, 5358, 2121.0, 2566.766666666667, 1153.760080341015, 7.96441650390625, 142.08427119255066, 14.802359104156494, 28.7892750898997, 35.70704376042605
