Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AutomatedReasoning, 4, 43, 10.75, 0.84, RED
DepMng, 4, 40, 10.0, 0.77, ORANGE
FeatureIDE, 1, 10, 10.0, 0.77, ORANGE
Metamodels, 1, 2, 2.0, 0.0, BLUE
ParserTechnology, 1, 10, 10.0, 0.77, ORANGE
SPLOT, 1, 7, 7.0, 0.48, YELLOW
System, 6, 65, 10.83, 0.85, RED
Utils, 300, 3710, 12.37, 1.0, RED
pyPicosat, 1, 10, 10.0, 0.77, ORANGE
pycosat, 2, 17, 8.5, 0.63, ORANGE
pycryptosat, 4, 43, 10.75, 0.84, RED
pydepqbf, 1, 10, 10.0, 0.77, ORANGE
pyglucose, 1, 3, 3.0, 0.1, BLUE
pylgl, 2, 18, 9.0, 0.68, ORANGE
python-sat, 16, 177, 11.06, 0.87, RED
satispy, 8, 89, 11.12, 0.88, RED
satyrn, 7, 76, 10.86, 0.85, RED
umo, 1, 7, 7.0, 0.48, YELLOW
