Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AutomatedReasoning, 2, 29, 14.5, 0.67, ORANGE
CNFModel, 1, 13, 13.0, 0.56, YELLOW
DecisionModel, 2, 35, 17.5, 0.91, RED
FeatureIDE, 4, 72, 18.0, 0.95, RED
FeatureModel, 1, 17, 17.0, 0.87, RED
ParserTechnology, 1, 15, 15.0, 0.71, ORANGE
SPLOT, 1, 7, 7.0, 0.08, BLUE
pipdeptree, 1, 13, 13.0, 0.56, YELLOW
pkg-resources, 2, 34, 17.0, 0.87, RED
pybind11, 1, 13, 13.0, 0.56, YELLOW
pycosat, 3, 53, 17.67, 0.93, RED
pycryptosat, 43, 800, 18.6, 1.0, RED
pydepqbf, 1, 6, 6.0, 0.0, BLUE
pyglucose, 1, 12, 12.0, 0.48, YELLOW
pylgl, 1, 13, 13.0, 0.56, YELLOW
satispy, 15, 275, 18.33, 0.98, RED
satyrn, 1, 17, 17.0, 0.87, RED
setuptools, 23, 424, 18.43, 0.99, RED
wheel, 13, 237, 18.23, 0.97, RED
