Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AutomatedReasoning, 1, 8, 8.0, 0.17, BLUE
CNFModel, 2, 30, 15.0, 0.75, ORANGE
DecisionModel, 13, 210, 16.15, 0.85, RED
FeatureIDE, 1, 11, 11.0, 0.42, YELLOW
FeatureModel, 1, 14, 14.0, 0.67, ORANGE
Linux, 18, 296, 16.44, 0.87, RED
ParserTechnology, 1, 14, 14.0, 0.67, ORANGE
SPLOT, 2, 28, 14.0, 0.67, ORANGE
Win, 14, 252, 18.0, 1.0, RED
pipdeptree, 1, 7, 7.0, 0.08, BLUE
pkg-resources, 26, 430, 16.54, 0.88, RED
pyPicosat, 1, 15, 15.0, 0.75, ORANGE
pybind11, 1, 13, 13.0, 0.58, YELLOW
pycosat, 1, 15, 15.0, 0.75, ORANGE
pycryptosat, 1, 9, 9.0, 0.25, GREEN
pydepqbf, 5, 81, 16.2, 0.85, RED
pyglucose, 14, 226, 16.14, 0.85, RED
pylgl, 10, 152, 15.2, 0.77, ORANGE
satispy, 1, 13, 13.0, 0.58, YELLOW
satyrn, 1, 14, 14.0, 0.67, ORANGE
setuptools, 1, 6, 6.0, 0.0, BLUE
umo, 4, 59, 14.75, 0.73, ORANGE
wheel, 2, 31, 15.5, 0.79, ORANGE
