Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
CNFModel, 7, 14, 2.0, 1.0, RED
DepMng, 7, 14, 2.0, 1.0, RED
ErrorDetection, 8, 16, 2.0, 1.0, RED
ErrorDiagnosis, 8, 16, 2.0, 1.0, RED
FeatureIDE, 7, 14, 2.0, 1.0, RED
ParserTechnology, 7, 14, 2.0, 1.0, RED
SPLOT, 7, 14, 2.0, 1.0, RED
UVL, 7, 14, 2.0, 1.0, RED
pybind11, 7, 14, 2.0, 1.0, RED
pycosat, 8, 16, 2.0, 1.0, RED
pycryptosat, 8, 16, 2.0, 1.0, RED
pyglucose, 8, 16, 2.0, 1.0, RED
python-sat, 8, 16, 2.0, 1.0, RED
satispy, 8, 16, 2.0, 1.0, RED
six, 7, 14, 2.0, 1.0, RED
