Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AutomatedReasoning, 1, 13, 13.0, 0.73, ORANGE
CNFModel, 1, 13, 13.0, 0.73, ORANGE
DecisionModel, 4, 59, 14.75, 0.83, RED
FeatureIDE, 3, 40, 13.33, 0.75, ORANGE
FeatureModel, 2, 24, 12.0, 0.67, ORANGE
Linux, 1, 1, 1.0, 0.0, BLUE
ParserTechnology, 99, 1523, 15.38, 0.87, RED
SPLOT, 1, 9, 9.0, 0.48, YELLOW
Win, 1, 10, 10.0, 0.54, YELLOW
pipdeptree, 17, 258, 15.18, 0.86, RED
pkg-resources, 2, 24, 12.0, 0.67, ORANGE
pyPicosat, 1, 11, 11.0, 0.6, ORANGE
pybind11, 5, 75, 15.0, 0.85, RED
pycosat, 1, 11, 11.0, 0.6, ORANGE
pycryptosat, 2, 27, 13.5, 0.76, ORANGE
pydepqbf, 3, 36, 12.0, 0.67, ORANGE
pyglucose, 1, 14, 14.0, 0.79, ORANGE
pylgl, 1, 14, 14.0, 0.79, ORANGE
satispy, 9, 129, 14.33, 0.81, RED
satyrn, 2, 26, 13.0, 0.73, ORANGE
setuptools, 1, 8, 8.0, 0.42, YELLOW
six, 17, 298, 17.53, 1.0, RED
umo, 1, 9, 9.0, 0.48, YELLOW
wheel, 12, 178, 14.83, 0.84, RED
