Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AutomatedReasoning, 1, 8, 8.0, 0.35, GREEN
CNFModel, 1, 12, 12.0, 0.7, ORANGE
DecisionModel, 3, 41, 13.67, 0.84, RED
FeatureIDE, 5, 66, 13.2, 0.8, RED
FeatureModel, 27, 387, 14.33, 0.9, RED
Linux, 1, 11, 11.0, 0.61, ORANGE
ParserTechnology, 1, 8, 8.0, 0.35, GREEN
SPLOT, 1, 12, 12.0, 0.7, ORANGE
Win, 5, 70, 14.0, 0.87, RED
pip, 85, 1316, 15.48, 1.0, RED
pkg-resources, 13, 185, 14.23, 0.89, RED
pyPicosat, 3, 42, 14.0, 0.87, RED
pybind11, 1, 13, 13.0, 0.78, ORANGE
pycosat, 1, 11, 11.0, 0.61, ORANGE
pycryptosat, 25, 361, 14.44, 0.91, RED
pydepqbf, 5, 71, 14.2, 0.89, RED
pyglucose, 3, 41, 13.67, 0.84, RED
pylgl, 2, 27, 13.5, 0.83, RED
satispy, 2, 27, 13.5, 0.83, RED
satyrn, 3, 38, 12.67, 0.75, ORANGE
setuptools, 1, 4, 4.0, 0.0, BLUE
six, 1, 12, 12.0, 0.7, ORANGE
umo, 8, 106, 13.25, 0.81, RED
wheel, 1, 10, 10.0, 0.52, YELLOW
