Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
CNFModel, 4, 5, 1.25, 0.51, YELLOW
DepMng, 4, 5, 1.25, 0.51, YELLOW
Interoperability, 11, 20, 1.82, 1.0, RED
Linux, 3, 2, 0.67, 0.0, BLUE
Operations, 6, 9, 1.5, 0.72, ORANGE
ParserTechnology, 10, 18, 1.8, 0.98, RED
Win, 10, 18, 1.8, 0.98, RED
pyPicosat, 9, 15, 1.67, 0.87, RED
pybind11, 5, 7, 1.4, 0.64, ORANGE
pycosat, 6, 9, 1.5, 0.72, ORANGE
pycryptosat, 9, 15, 1.67, 0.87, RED
pyglucose, 8, 13, 1.62, 0.83, RED
python-sat, 9, 15, 1.67, 0.87, RED
satispy, 6, 9, 1.5, 0.72, ORANGE
satyrn, 6, 9, 1.5, 0.72, ORANGE
six, 3, 2, 0.67, 0.0, BLUE
umo, 10, 17, 1.7, 0.9, RED
