Method, Sample size, Valid configs, Defective configs, Visit configs, Evaluated configs, Time (s)
"Random Strategy", 2100, 2100, 722, 2100, 2100, 0.2569084167480469, 
"Random Strategy", 2200, 2200, 804, 2200, 2200, 0.2685964107513428, 
"Random Strategy", 2300, 2300, 857, 2300, 2300, 0.2822117805480957, 
"Random Strategy", 2400, 2400, 854, 2400, 2400, 0.29562854766845703, 
"Random Strategy", 2500, 2500, 959, 2500, 2500, 0.31345248222351074, 
"Random Strategy", 2600, 2600, 921, 2600, 2600, 0.31911253929138184, 
"Random Strategy", 2700, 2700, 984, 2700, 2700, 0.3598463535308838, 
"Random Strategy", 2800, 2800, 983, 2800, 2800, 0.34212756156921387, 
"Random Strategy", 2900, 2900, 1010, 2900, 2900, 0.35507869720458984, 
"Random Strategy", 3000, 3000, 1059, 3000, 3000, 0.36095166206359863, 
"Random Strategy", 3100, 3100, 1083, 3100, 3100, 0.37397265434265137, 
"Random Strategy", 3200, 3200, 1139, 3200, 3200, 0.3899674415588379, 
"Random Strategy", 3300, 3300, 1221, 3300, 3300, 0.41043853759765625, 
"Random Strategy", 3400, 3400, 1172, 3400, 3400, 0.41760778427124023, 
"Random Strategy", 3500, 3500, 1296, 3500, 3500, 0.44010233879089355, 
"Random Strategy", 3600, 3600, 1277, 3600, 3600, 0.44164180755615234, 
"Random Strategy", 3700, 3700, 1348, 3700, 3700, 0.4900784492492676, 
"Random Strategy", 3800, 3800, 1353, 3800, 3800, 0.4778006076812744, 
"Random Strategy", 3900, 3900, 1403, 3900, 3900, 0.47754764556884766, 
"Random Strategy", 4000, 4000, 1377, 4000, 4000, 0.48950648307800293, 
"Random Strategy", 4100, 4100, 1434, 4100, 4100, 0.49857282638549805, 
"Random Strategy", 4200, 4200, 1510, 4200, 4200, 0.5111603736877441, 
"Random Strategy", 4300, 4300, 1560, 4300, 4300, 0.5306088924407959, 
"Random Strategy", 4400, 4400, 1574, 4400, 4400, 0.580568790435791, 
"Random Strategy", 4500, 4500, 1591, 4500, 4500, 0.5562427043914795, 
"Random Strategy", 4600, 4600, 1644, 4600, 4600, 0.5657064914703369, 
"Random Strategy", 4700, 4700, 1689, 4700, 4700, 0.5791993141174316, 
"Random Strategy", 4800, 4800, 1656, 4800, 4800, 0.5955674648284912, 
"Random Strategy", 4900, 4900, 1831, 4900, 4900, 0.6064586639404297, 
"Random Strategy", 5000, 5000, 1815, 5000, 5000, 0.6074044704437256, 
"Random Strategy", 0, 0, 0, 0, 0, 0.005424976348876953, 
"Random Strategy", 100, 100, 33, 100, 100, 0.021942615509033203, 
"Random Strategy", 200, 200, 74, 200, 200, 0.03593897819519043, 
"Random Strategy", 300, 300, 111, 300, 300, 0.047084808349609375, 
"Random Strategy", 400, 400, 136, 400, 400, 0.05688214302062988, 
"Random Strategy", 500, 500, 185, 500, 500, 0.07081437110900879, 
"Random Strategy", 600, 600, 191, 600, 600, 0.0837717056274414, 
"Random Strategy", 700, 700, 264, 700, 700, 0.09754490852355957, 
"Random Strategy", 800, 800, 269, 800, 800, 0.10970830917358398, 
"Random Strategy", 900, 900, 316, 900, 900, 0.12308049201965332, 
"Random Strategy", 1000, 1000, 362, 1000, 1000, 0.13165593147277832, 
"Random Strategy", 1100, 1100, 400, 1100, 1100, 0.15280914306640625, 
"Random Strategy", 1200, 1200, 409, 1200, 1200, 0.1708366870880127, 
"Random Strategy", 1300, 1300, 458, 1300, 1300, 0.18046855926513672, 
"Random Strategy", 1400, 1400, 491, 1400, 1400, 0.21781086921691895, 
"Random Strategy", 1500, 1500, 541, 1500, 1500, 0.20544934272766113, 
"Random Strategy", 1600, 1600, 555, 1600, 1600, 0.21941351890563965, 
"Random Strategy", 1700, 1700, 592, 1700, 1700, 0.22835969924926758, 
"Random Strategy", 1800, 1800, 639, 1800, 1800, 0.2529637813568115, 
"Random Strategy", 1900, 1900, 697, 1900, 1900, 0.25863218307495117, 
"Random Strategy", 2000, 2000, 719, 2000, 2000, 0.27251172065734863, 
"Random Strategy", 2100, 2100, 748, 2100, 2100, 0.2849390506744385, 
"Random Strategy", 2200, 2200, 764, 2200, 2200, 0.2963557243347168, 
"Random Strategy", 2300, 2300, 809, 2300, 2300, 0.3063061237335205, 
"Random Strategy", 2400, 2400, 850, 2400, 2400, 0.3238508701324463, 
"Random Strategy", 2500, 2500, 875, 2500, 2500, 0.3455672264099121, 
"Random Strategy", 2600, 2600, 980, 2600, 2600, 0.35466885566711426, 
"Random Strategy", 2700, 2700, 944, 2700, 2700, 0.3564271926879883, 
"Random Strategy", 2800, 2800, 992, 2800, 2800, 0.41687870025634766, 
"Random Strategy", 2900, 2900, 1043, 2900, 2900, 0.3922080993652344, 
"Random Strategy", 3000, 3000, 1077, 3000, 3000, 0.39786720275878906, 
"Random Strategy", 3100, 3100, 1127, 3100, 3100, 0.4149501323699951, 
"Random Strategy", 3200, 3200, 1114, 3200, 3200, 0.4260141849517822, 
"Random Strategy", 3300, 3300, 1165, 3300, 3300, 0.44295239448547363, 
"Random Strategy", 3400, 3400, 1245, 3400, 3400, 0.4550187587738037, 
"Random Strategy", 3500, 3500, 1272, 3500, 3500, 0.4697391986846924, 
"Random Strategy", 3600, 3600, 1279, 3600, 3600, 0.48763203620910645, 
"Random Strategy", 3700, 3700, 1320, 3700, 3700, 0.5056717395782471, 
"Random Strategy", 3800, 3800, 1397, 3800, 3800, 0.5429031848907471, 
"Random Strategy", 3900, 3900, 1473, 3900, 3900, 0.5127615928649902, 
"Random Strategy", 4000, 4000, 1483, 4000, 4000, 0.5445809364318848, 
"Random Strategy", 4100, 4100, 1460, 4100, 4100, 0.5433535575866699, 
"Random Strategy", 4200, 4200, 1501, 4200, 4200, 0.5596396923065186, 
"Random Strategy", 4300, 4300, 1536, 4300, 4300, 0.5837194919586182, 
"Random Strategy", 4400, 4400, 1570, 4400, 4400, 0.5901181697845459, 
"Random Strategy", 4500, 4500, 1603, 4500, 4500, 0.6363224983215332, 
"Random Strategy", 4600, 4600, 1638, 4600, 4600, 0.6110599040985107, 
"Random Strategy", 4700, 4700, 1686, 4700, 4700, 0.6246085166931152, 
"Random Strategy", 4800, 4800, 1756, 4800, 4800, 0.6342709064483643, 
"Random Strategy", 4900, 4900, 1789, 4900, 4900, 0.6593294143676758, 
"Random Strategy", 5000, 5000, 1823, 5000, 5000, 0.6782209873199463, 
