Run, Algorithm, Iterations, Time, Features in Config, Valid Config, Reward, Nodes, Configuration
1, UCTAlgorithm, 75, 2.6188929080963135, 4, True, 59, 304, ['Metamodels', 'System', 'Win', 'AAFMFramework']
2, UCTAlgorithm, 75, 2.495610475540161, 4, True, 59, 304, ['Win', 'System', 'AAFMFramework', 'Metamodels']
3, UCTAlgorithm, 75, 14.368069887161255, 18, True, 45, 1368, ['System', 'SimpleParse', 'Utils', 'setuptools', 'satyrn', 'DepMng', 'pip', 'Metamodels', 'pycosat', 'ParserTechnology', 'APISolvers', 'pybind11', 'pyglucose', 'wheel', 'pkg-resources', 'AAFMFramework', 'Packages', 'Linux']
4, UCTAlgorithm, 75, 3.9250967502593994, 6, True, 57, 456, ['Metamodels', 'AAFMFramework', 'Interoperability', 'FeatureIDE', 'System', 'Win']
5, UCTAlgorithm, 75, 15.152275562286377, 17, True, 46, 1292, ['ParserTechnology', 'DepMng', 'pkg-resources', 'Packages', 'CNFModel', 'six', 'AAFMFramework', 'Utils', 'pycryptosat', 'Metamodels', 'pip', 'SimpleParse', 'APISolvers', 'setuptools', 'System', 'FeatureModel', 'Linux']
6, UCTAlgorithm, 75, 23.51337695121765, 19, True, 44, 1444, ['Metamodels', 'AAFMFramework', 'APISolvers', 'pycosat', 'DecisionModel', 'Interoperability', 'pybind11', 'SPLOT', 'System', 'CNFModel', 'setuptools', 'FeatureIDE', 'pkg-resources', 'DepMng', 'Packages', 'pip', 'Utils', 'FeatureModel', 'Linux']
7, UCTAlgorithm, 75, 2.8115222454071045, 4, True, 59, 304, ['Win', 'System', 'Metamodels', 'AAFMFramework']
8, UCTAlgorithm, 75, 2.1701810359954834, 4, True, 59, 304, ['Win', 'Metamodels', 'AAFMFramework', 'System']
9, UCTAlgorithm, 75, 2.6482388973236084, 4, True, 59, 304, ['AAFMFramework', 'Win', 'Metamodels', 'System']
10, UCTAlgorithm, 75, 2.6816201210021973, 4, True, 59, 304, ['Win', 'Metamodels', 'AAFMFramework', 'System']
11, UCTAlgorithm, 75, 6.469848871231079, 7, True, 56, 532, ['SPLOT', 'AAFMFramework', 'Metamodels', 'Win', 'FeatureIDE', 'Interoperability', 'System']
