Run,#Features,#NodesExplored,#TotalIterationsExecuted,#TotalNodes,Algorithm,AlgorithmSteps,Configuration,ExecutionTime,Reward,StoppingCondition,ValidConfiguration
28,28,308,308,4539,"UCT MCTS (sc:iters=10, ew=0.5)",28,"['DepMng', 'pybind11', 'FeatureModel', 'pipdeptree', 'pip', 'pyglucose', 'ParserTechnology', 'Interoperability', 'Packages', 'Metamodels', 'APISolvers', 'System', 'pydepqbf', 'pyPicosat', 'six', 'pycosat', 'lark-parser', 'ebnf', 'umo', 'python-sat', 'SPLOT', 'satyrn', 'Utils', 'Linux', 'pkg-resources', 'setuptools', 'pycryptosat', 'AAFMFramework']",2.0791988372802734,70,10,True
29,56,616,616,11332,"UCT MCTS (sc:iters=10, ew=0.5)",56,"['Glucose-pyglucose', 'MiniSAT', 'SimpleParse', 'Lingeling', 'ErrorDetection', 'Packages', 'ValidProduct', 'Interoperability', 'ErrorDiagnosis', 'Metamodels', 'pyPicosat', 'setuptools', 'Utils', 'DecisionModel', 'antlr4-python3-runtime', 'satispy', 'Solvers', 'six', 'ParserTechnology', 'pkg-resources', 'MiniSAT-umo', 'Lingeling-python-sat', 'wheel', 'CoreFeatures', 'Linux', 'pyglucose', 'SPLOT', 'pybind11', 'python-sat', 'pycosat', 'FeatureIDE', 'ValidConfiguration', 'ebnf', 'MiniSAT-python-sat', 'AAFMFramework', 'Lingeling-pylgl', 'DepMng', 'pip', 'System', 'pycryptosat', 'PicoSAT', 'FeatureModel', 'pylgl', 'Operations', 'ValidModel', 'Glucose-python-sat', 'DeadFeatures', 'UVL', 'PicoSAT-pyPicosat', 'Glucose', 'CNFModel', 'umo', 'lark-parser', 'pipdeptree', 'AutomatedReasoning', 'APISolvers']",4.372858762741089,14,10,True
30,36,396,396,4753,"UCT MCTS (sc:iters=10, ew=0.5)",36,"['satispy', 'Linux', 'FeatureIDE', 'AAFMFramework', 'Metamodels', 'python-sat', 'six', 'ebnf', 'Utils', 'Interoperability', 'pycosat', 'APISolvers', 'satyrn', 'lark-parser', 'System', 'setuptools', 'UVL', 'wheel', 'pydepqbf', 'antlr4-python3-runtime', 'pipdeptree', 'Packages', 'pycryptosat', 'pyglucose', 'pyPicosat', 'umo', 'DepMng', 'pip', 'ParserTechnology', 'SPLOT', 'pkg-resources', 'SimpleParse', 'DecisionModel', 'pylgl', 'FeatureModel', 'pybind11']",2.642660617828369,54,10,True

1,60,"0",660,"0","MonteCarlo basic (sc:iters=10)",60,"['UVL', 'python-sat', 'Lingeling', 'pip', 'pylgl', 'pycosat', 'ValidConfiguration', 'pyPicosat', 'PicoSAT', 'Operations', 'AllProducts', 'Lingeling-pylgl', 'DecisionModel', 'SPLOT', 'MiniSAT', 'CNFModel', 'six', 'DepMng', 'setuptools', 'ValidModel', 'MiniSAT-python-sat', 'Utils', 'AAFMFramework', 'Glucose-python-sat', 'MiniSAT-umo', 'AutomatedReasoning', 'SimpleParse', 'pycryptosat', 'Glucose', 'umo', 'APISolvers', 'Metamodels', 'ParserTechnology', 'antlr4-python3-runtime', 'Lingeling-satispy', 'ErrorDiagnosis', 'ebnf', 'FeatureIDE', 'ValidProduct', 'CoreFeatures', 'Interoperability', 'Lingeling-python-sat', 'Linux', 'satyrn', 'pkg-resources', 'pyglucose', 'PicoSAT-pyPicosat', 'Solvers', 'ErrorDetection', 'DeadFeatures', 'PicoSAT-pycosat', 'Glucose-pyglucose', 'Packages', 'pydepqbf', 'MiniSAT-satispy', 'pybind11', 'lark-parser', 'System', 'FeatureModel', 'satispy']",2.8443522453308105,6,10,True
2,43,"0",473,"0","MonteCarlo basic (sc:iters=10)",43,"['pyglucose', 'Metamodels', 'UVL', 'pkg-resources', 'FeatureIDE', 'Interoperability', 'umo', 'pycryptosat', 'six', 'Solvers', 'satyrn', 'pipdeptree', 'pycosat', 'ErrorDiagnosis', 'AAFMFramework', 'DecisionModel', 'pip', 'MiniSAT-umo', 'antlr4-python3-runtime', 'ParserTechnology', 'pyPicosat', 'SPLOT', 'setuptools', 'FeatureModel', 'Utils', 'System', 'Linux', 'CNFModel', 'MiniSAT', 'Packages', 'ebnf', 'DepMng', 'Glucose', 'AutomatedReasoning', 'pybind11', 'lark-parser', 'pydepqbf', 'APISolvers', 'pylgl', 'satispy', 'Glucose-pyglucose', 'Operations', 'wheel']",2.466707944869995,40,10,True
3,25,"0",275,"0","MonteCarlo basic (sc:iters=10)",25,"['pkg-resources', 'pybind11', 'System', 'pydepqbf', 'six', 'DecisionModel', 'lark-parser', 'antlr4-python3-runtime', 'AAFMFramework', 'Utils', 'setuptools', 'DepMng', 'APISolvers', 'CNFModel', 'ParserTechnology', 'pyglucose', 'Packages', 'wheel', 'pyPicosat', 'ebnf', 'SimpleParse', 'pip', 'Metamodels', 'Linux', 'satispy']",1.57796311378479,76,10,True
4,46,"0",506,"0","MonteCarlo basic (sc:iters=10)",46,"['Metamodels', 'ebnf', 'MiniSAT-umo', 'APISolvers', 'python-sat', 'Glucose', 'pyPicosat', 'umo', 'pyglucose', 'Utils', 'pycosat', 'pydepqbf', 'MiniSAT-python-sat', 'six', 'CNFModel', 'pybind11', 'setuptools', 'pip', 'antlr4-python3-runtime', 'satispy', 'AutomatedReasoning', 'Packages', 'Operations', 'DeadFeatures', 'Interoperability', 'pycryptosat', 'pipdeptree', 'wheel', 'Solvers', 'AAFMFramework', 'System', 'lark-parser', 'ParserTechnology', 'Glucose-python-sat', 'SimpleParse', 'PicoSAT', 'pkg-resources', 'MiniSAT', 'pylgl', 'UVL', 'satyrn', 'PicoSAT-pyPicosat', 'PicoSAT-pycosat', 'SPLOT', 'Linux', 'DepMng']",2.613598346710205,34,10,True
5,59,"0",649,"0","MonteCarlo basic (sc:iters=10)",59,"['FeatureIDE', 'pybind11', 'umo', 'pylgl', 'System', 'Lingeling-pylgl', 'Metamodels', 'pyPicosat', 'Operations', 'Lingeling', 'six', 'PicoSAT-pycosat', 'AllProducts', 'CoreFeatures', 'setuptools', 'ErrorDetection', 'DecisionModel', 'wheel', 'UVL', 'pyglucose', 'ValidProduct', 'pycosat', 'lark-parser', 'Glucose-pyglucose', 'MiniSAT', 'Interoperability', 'Utils', 'AAFMFramework', 'AutomatedReasoning', 'Lingeling-python-sat', 'Lingeling-satispy', 'Glucose', 'DeadFeatures', 'CNFModel', 'APISolvers', 'ebnf', 'MiniSAT-satispy', 'Packages', 'SimpleParse', 'MiniSAT-python-sat', 'PicoSAT', 'antlr4-python3-runtime', 'Solvers', 'FeatureModel', 'pipdeptree', 'satispy', 'ValidModel', 'ValidConfiguration', 'ParserTechnology', 'PicoSAT-pyPicosat', 'python-sat', 'satyrn', 'MiniSAT-umo', 'Glucose-python-sat', 'Linux', 'pkg-resources', 'pip', 'DepMng', 'SPLOT']",3.020562171936035,8,10,True
6,54,"0",594,"0","MonteCarlo basic (sc:iters=10)",54,"['Lingeling-satispy', 'Interoperability', 'ParserTechnology', 'python-sat', 'FeatureIDE', 'Linux', 'pyglucose', 'satispy', 'Solvers', 'umo', 'setuptools', 'PicoSAT-pycosat', 'pkg-resources', 'PicoSAT', 'ValidProduct', 'UVL', 'Operations', 'pylgl', 'ebnf', 'pyPicosat', 'MiniSAT-python-sat', 'ErrorDiagnosis', 'lark-parser', 'MiniSAT-umo', 'CNFModel', 'six', 'pycryptosat', 'Glucose', 'Glucose-pyglucose', 'antlr4-python3-runtime', 'DepMng', 'pipdeptree', 'Packages', 'MiniSAT', 'APISolvers', 'Lingeling', 'FeatureModel', 'pydepqbf', 'Lingeling-pylgl', 'pip', 'DecisionModel', 'Lingeling-python-sat', 'AutomatedReasoning', 'System', 'Metamodels', 'Utils', 'SPLOT', 'SimpleParse', 'pycosat', 'AAFMFramework', 'MiniSAT-satispy', 'pybind11', 'wheel', 'Glucose-python-sat']",2.8283658027648926,18,10,True
7,16,"0",176,"0","MonteCarlo basic (sc:iters=10)",16,"['AAFMFramework', 'Interoperability', 'CNFModel', 'Packages', 'UVL', 'setuptools', 'System', 'Linux', 'pip', 'lark-parser', 'ebnf', 'ParserTechnology', 'pkg-resources', 'Metamodels', 'DepMng', 'antlr4-python3-runtime']",1.1299552917480469,47,10,True
8,53,"0",583,"0","MonteCarlo basic (sc:iters=10)",53,"['python-sat', 'lark-parser', 'PicoSAT-pyPicosat', 'ErrorDetection', 'pycryptosat', 'setuptools', 'pyglucose', 'satispy', 'CoreFeatures', 'FeatureIDE', 'ebnf', 'antlr4-python3-runtime', 'PicoSAT-pycosat', 'pipdeptree', 'Lingeling', 'Metamodels', 'Glucose', 'SimpleParse', 'Solvers', 'System', 'DecisionModel', 'ErrorDiagnosis', 'UVL', 'Glucose-pyglucose', 'APISolvers', 'umo', 'pkg-resources', 'SPLOT', 'Linux', 'pybind11', 'ValidConfiguration', 'AAFMFramework', 'AutomatedReasoning', 'Glucose-python-sat', 'DeadFeatures', 'PicoSAT', 'Operations', 'wheel', 'CNFModel', 'ParserTechnology', 'pip', 'pycosat', 'Utils', 'pyPicosat', 'Interoperability', 'ValidProduct', 'ValidModel', 'FeatureModel', 'AllProducts', 'six', 'Lingeling-python-sat', 'Packages', 'DepMng']",2.992936134338379,20,10,True
9,57,"0",627,"0","MonteCarlo basic (sc:iters=10)",57,"['wheel', 'AAFMFramework', 'ParserTechnology', 'FeatureModel', 'Linux', 'Glucose', 'pip', 'lark-parser', 'AllProducts', 'CoreFeatures', 'APISolvers', 'MiniSAT-satispy', 'PicoSAT', 'pylgl', 'Lingeling-python-sat', 'PicoSAT-pyPicosat', 'DecisionModel', 'ErrorDiagnosis', 'Operations', 'pycryptosat', 'pyPicosat', 'System', 'ebnf', 'FeatureIDE', 'Utils', 'antlr4-python3-runtime', 'six', 'MiniSAT-python-sat', 'Solvers', 'ValidModel', 'SimpleParse', 'umo', 'Interoperability', 'CNFModel', 'pkg-resources', 'pycosat', 'PicoSAT-pycosat', 'Lingeling', 'DeadFeatures', 'Metamodels', 'satispy', 'UVL', 'Packages', 'ErrorDetection', 'DepMng', 'Glucose-pyglucose', 'MiniSAT', 'SPLOT', 'Glucose-python-sat', 'pyglucose', 'MiniSAT-umo', 'Lingeling-satispy', 'pybind11', 'python-sat', 'setuptools', 'AutomatedReasoning', 'ValidProduct']",3.0016589164733887,12,10,True
10,54,"0",594,"0","MonteCarlo basic (sc:iters=10)",54,"['pyPicosat', 'Lingeling-python-sat', 'Utils', 'Linux', 'pylgl', 'AllProducts', 'SimpleParse', 'python-sat', 'DecisionModel', 'CNFModel', 'Solvers', 'satispy', 'UVL', 'ebnf', 'MiniSAT-satispy', 'ParserTechnology', 'System', 'SPLOT', 'Operations', 'six', 'pkg-resources', 'pybind11', 'wheel', 'ValidConfiguration', 'pycosat', 'AAFMFramework', 'pyglucose', 'Packages', 'PicoSAT', 'setuptools', 'ValidModel', 'DeadFeatures', 'Lingeling', 'MiniSAT-umo', 'FeatureIDE', 'satyrn', 'pip', 'Glucose-pyglucose', 'pipdeptree', 'APISolvers', 'PicoSAT-pyPicosat', 'Interoperability', 'Glucose-python-sat', 'Lingeling-pylgl', 'FeatureModel', 'DepMng', 'MiniSAT', 'MiniSAT-python-sat', 'umo', 'Glucose', 'Metamodels', 'AutomatedReasoning', 'PicoSAT-pycosat', 'lark-parser']",2.9600942134857178,18,10,True
11,60,"0",660,"0","MonteCarlo basic (sc:iters=10)",60,"['MiniSAT-umo', 'pylgl', 'ebnf', 'pip', 'Glucose-python-sat', 'setuptools', 'pipdeptree', 'python-sat', 'PicoSAT-pyPicosat', 'DepMng', 'SimpleParse', 'AutomatedReasoning', 'DecisionModel', 'Lingeling-python-sat', 'satispy', 'PicoSAT-pycosat', 'APISolvers', 'Operations', 'pyglucose', 'antlr4-python3-runtime', 'Metamodels', 'MiniSAT', 'FeatureIDE', 'AllProducts', 'CoreFeatures', 'six', 'MiniSAT-python-sat', 'Lingeling-satispy', 'ValidProduct', 'umo', 'pycosat', 'Glucose-pyglucose', 'Packages', 'CNFModel', 'Lingeling', 'pyPicosat', 'PicoSAT', 'lark-parser', 'Utils', 'wheel', 'ValidModel', 'Interoperability', 'Linux', 'ParserTechnology', 'Solvers', 'pybind11', 'DeadFeatures', 'pycryptosat', 'System', 'Glucose', 'AAFMFramework', 'MiniSAT-satispy', 'pkg-resources', 'ErrorDiagnosis', 'FeatureModel', 'Lingeling-pylgl', 'ErrorDetection', 'ValidConfiguration', 'UVL', 'SPLOT']",3.124159812927246,6,10,True
12,34,"0",374,"0","MonteCarlo basic (sc:iters=10)",34,"['AAFMFramework', 'pipdeptree', 'DepMng', 'ParserTechnology', 'CNFModel', 'lark-parser', 'DeadFeatures', 'pyglucose', 'pylgl', 'pyPicosat', 'ErrorDetection', 'Glucose-python-sat', 'wheel', 'Metamodels', 'six', 'python-sat', 'Interoperability', 'pip', 'Operations', 'AutomatedReasoning', 'setuptools', 'SimpleParse', 'System', 'pkg-resources', 'Utils', 'Glucose', 'Linux', 'Solvers', 'antlr4-python3-runtime', 'SPLOT', 'DecisionModel', 'Packages', 'APISolvers', 'pybind11']",2.275531530380249,29,10,True
13,58,"0",638,"0","MonteCarlo basic (sc:iters=10)",58,"['Interoperability', 'pybind11', 'lark-parser', 'PicoSAT', 'MiniSAT-satispy', 'six', 'antlr4-python3-runtime', 'System', 'pipdeptree', 'Linux', 'PicoSAT-pycosat', 'ErrorDiagnosis', 'Metamodels', 'pycosat', 'ValidModel', 'pkg-resources', 'Glucose-python-sat', 'ValidProduct', 'UVL', 'SPLOT', 'pydepqbf', 'DepMng', 'FeatureIDE', 'AAFMFramework', 'PicoSAT-pyPicosat', 'Lingeling-satispy', 'Lingeling-python-sat', 'MiniSAT', 'umo', 'Operations', 'pip', 'ParserTechnology', 'satispy', 'wheel', 'satyrn', 'setuptools', 'DecisionModel', 'python-sat', 'Solvers', 'Utils', 'Lingeling', 'CNFModel', 'pyPicosat', 'ebnf', 'AllProducts', 'FeatureModel', 'pylgl', 'MiniSAT-umo', 'ErrorDetection', 'APISolvers', 'Lingeling-pylgl', 'Packages', 'MiniSAT-python-sat', 'Glucose', 'pyglucose', 'Glucose-pyglucose', 'AutomatedReasoning', 'pycryptosat']",2.923722743988037,10,10,True
14,28,"0",308,"0","MonteCarlo basic (sc:iters=10)",28,"['ebnf', 'Interoperability', 'pybind11', 'pipdeptree', 'setuptools', 'pycosat', 'pkg-resources', 'FeatureModel', 'satyrn', 'CNFModel', 'System', 'DecisionModel', 'UVL', 'lark-parser', 'DepMng', 'antlr4-python3-runtime', 'APISolvers', 'FeatureIDE', 'ParserTechnology', 'SimpleParse', 'Packages', 'Metamodels', 'pyPicosat', 'Linux', 'pip', 'AAFMFramework', 'wheel', 'Utils']",1.8026080131530762,70,10,True
15,53,"0",583,"0","MonteCarlo basic (sc:iters=10)",53,"['pycosat', 'ErrorDetection', 'AutomatedReasoning', 'Lingeling-python-sat', 'MiniSAT-umo', 'Metamodels', 'pyPicosat', 'pip', 'CNFModel', 'Operations', 'pybind11', 'SPLOT', 'System', 'Utils', 'pyglucose', 'satispy', 'wheel', 'UVL', 'setuptools', 'AllProducts', 'pycryptosat', 'pydepqbf', 'ebnf', 'pylgl', 'ValidConfiguration', 'MiniSAT', 'lark-parser', 'python-sat', 'Lingeling', 'Glucose-pyglucose', 'umo', 'AAFMFramework', 'Glucose', 'pkg-resources', 'antlr4-python3-runtime', 'FeatureModel', 'Packages', 'Solvers', 'DepMng', 'APISolvers', 'Linux', 'Lingeling-pylgl', 'pipdeptree', 'Interoperability', 'MiniSAT-satispy', 'DecisionModel', 'six', 'SimpleParse', 'FeatureIDE', 'ParserTechnology', 'Glucose-python-sat', 'CoreFeatures', 'MiniSAT-python-sat']",2.9816677570343018,20,10,True
16,39,"0",429,"0","MonteCarlo basic (sc:iters=10)",39,"['satyrn', 'pycryptosat', 'six', 'Solvers', 'CNFModel', 'DeadFeatures', 'AutomatedReasoning', 'SPLOT', 'FeatureIDE', 'Metamodels', 'ValidProduct', 'pkg-resources', 'FeatureModel', 'ValidModel', 'lark-parser', 'PicoSAT-pycosat', 'PicoSAT', 'pybind11', 'pycosat', 'Operations', 'ValidConfiguration', 'DepMng', 'wheel', 'AllProducts', 'pyPicosat', 'APISolvers', 'AAFMFramework', 'setuptools', 'Interoperability', 'pydepqbf', 'System', 'UVL', 'pip', 'ebnf', 'Linux', 'Utils', 'Packages', 'ParserTechnology', 'DecisionModel']",2.6932320594787598,48,10,True
17,59,"0",649,"0","MonteCarlo basic (sc:iters=10)",59,"['DepMng', 'APISolvers', 'Solvers', 'antlr4-python3-runtime', 'Linux', 'UVL', 'pyPicosat', 'DecisionModel', 'System', 'satispy', 'ValidProduct', 'MiniSAT-satispy', 'Utils', 'Interoperability', 'PicoSAT-pyPicosat', 'pybind11', 'pipdeptree', 'lark-parser', 'Lingeling-satispy', 'pycryptosat', 'SimpleParse', 'AAFMFramework', 'CoreFeatures', 'DeadFeatures', 'Glucose', 'FeatureModel', 'ValidConfiguration', 'AutomatedReasoning', 'Packages', 'SPLOT', 'six', 'Operations', 'PicoSAT', 'python-sat', 'Lingeling-pylgl', 'pydepqbf', 'Metamodels', 'pkg-resources', 'setuptools', 'ErrorDiagnosis', 'Lingeling', 'wheel', 'umo', 'ParserTechnology', 'pycosat', 'pip', 'ebnf', 'CNFModel', 'FeatureIDE', 'satyrn', 'ErrorDetection', 'MiniSAT-umo', 'Glucose-python-sat', 'pyglucose', 'ValidModel', 'PicoSAT-pycosat', 'MiniSAT', 'AllProducts', 'pylgl']",3.104579210281372,8,10,True
18,53,"0",583,"0","MonteCarlo basic (sc:iters=10)",53,"['Interoperability', 'umo', 'Operations', 'Metamodels', 'Lingeling-satispy', 'ValidProduct', 'satyrn', 'pybind11', 'MiniSAT-satispy', 'pyPicosat', 'Glucose-pyglucose', 'Lingeling', 'PicoSAT', 'Lingeling-python-sat', 'AutomatedReasoning', 'lark-parser', 'setuptools', 'pip', 'Glucose', 'PicoSAT-pyPicosat', 'pyglucose', 'MiniSAT-python-sat', 'Linux', 'pkg-resources', 'UVL', 'CNFModel', 'wheel', 'System', 'APISolvers', 'Glucose-python-sat', 'AAFMFramework', 'ParserTechnology', 'pycosat', 'DepMng', 'SPLOT', 'DecisionModel', 'Packages', 'python-sat', 'pylgl', 'FeatureModel', 'ebnf', 'FeatureIDE', 'MiniSAT-umo', 'pipdeptree', 'SimpleParse', 'Lingeling-pylgl', 'satispy', 'MiniSAT', 'Solvers', 'Utils', 'pydepqbf', 'antlr4-python3-runtime', 'six']",2.725942373275757,20,10,True
19,51,"0",561,"0","MonteCarlo basic (sc:iters=10)",51,"['ParserTechnology', 'APISolvers', 'pydepqbf', 'SPLOT', 'pkg-resources', 'MiniSAT-umo', 'umo', 'wheel', 'setuptools', 'MiniSAT-python-sat', 'System', 'python-sat', 'pycosat', 'Packages', 'PicoSAT', 'Solvers', 'satyrn', 'DecisionModel', 'six', 'AAFMFramework', 'Lingeling', 'Metamodels', 'Utils', 'Linux', 'lark-parser', 'Lingeling-pylgl', 'DepMng', 'satispy', 'ValidModel', 'ErrorDetection', 'CNFModel', 'FeatureModel', 'pycryptosat', 'pip', 'antlr4-python3-runtime', 'MiniSAT', 'AutomatedReasoning', 'SimpleParse', 'UVL', 'pylgl', 'PicoSAT-pyPicosat', 'Interoperability', 'pyglucose', 'FeatureIDE', 'pyPicosat', 'Lingeling-satispy', 'Operations', 'ebnf', 'pybind11', 'pipdeptree', 'ValidProduct']",2.669492483139038,24,10,True
20,59,"0",649,"0","MonteCarlo basic (sc:iters=10)",59,"['PicoSAT-pycosat', 'PicoSAT-pyPicosat', 'six', 'umo', 'satyrn', 'pipdeptree', 'MiniSAT-umo', 'SPLOT', 'FeatureIDE', 'pip', 'satispy', 'Glucose', 'pycryptosat', 'System', 'MiniSAT', 'Glucose-pyglucose', 'Packages', 'setuptools', 'pyglucose', 'ValidProduct', 'pyPicosat', 'UVL', 'PicoSAT', 'ParserTechnology', 'antlr4-python3-runtime', 'ErrorDiagnosis', 'python-sat', 'AllProducts', 'pkg-resources', 'DepMng', 'Solvers', 'Lingeling', 'ebnf', 'Lingeling-python-sat', 'FeatureModel', 'Operations', 'ValidModel', 'DecisionModel', 'wheel', 'ValidConfiguration', 'pydepqbf', 'Linux', 'Lingeling-satispy', 'MiniSAT-satispy', 'pycosat', 'APISolvers', 'pybind11', 'MiniSAT-python-sat', 'Metamodels', 'AAFMFramework', 'Utils', 'Interoperability', 'Glucose-python-sat', 'pylgl', 'lark-parser', 'AutomatedReasoning', 'CNFModel', 'SimpleParse', 'Lingeling-pylgl']",3.0297539234161377,8,10,True
21,30,"0",330,"0","MonteCarlo basic (sc:iters=10)",30,"['Metamodels', 'DepMng', 'ebnf', 'ParserTechnology', 'CNFModel', 'SimpleParse', 'DecisionModel', 'System', 'pyglucose', 'antlr4-python3-runtime', 'pip', 'Interoperability', 'APISolvers', 'pyPicosat', 'satyrn', 'lark-parser', 'pkg-resources', 'FeatureIDE', 'FeatureModel', 'setuptools', 'Utils', 'pycosat', 'satispy', 'AAFMFramework', 'SPLOT', 'Linux', 'Packages', 'pybind11', 'UVL', 'six']",1.9823429584503174,66,10,True
22,52,"0",572,"0","MonteCarlo basic (sc:iters=10)",52,"['pkg-resources', 'CoreFeatures', 'ErrorDiagnosis', 'pipdeptree', 'PicoSAT', 'DecisionModel', 'PicoSAT-pyPicosat', 'Packages', 'Lingeling', 'FeatureIDE', 'Lingeling-pylgl', 'Metamodels', 'Glucose', 'pybind11', 'APISolvers', 'pylgl', 'Lingeling-satispy', 'UVL', 'System', 'six', 'SimpleParse', 'FeatureModel', 'MiniSAT-python-sat', 'ValidProduct', 'Utils', 'Glucose-python-sat', 'satispy', 'DepMng', 'Lingeling-python-sat', 'Glucose-pyglucose', 'wheel', 'Operations', 'ValidConfiguration', 'AAFMFramework', 'DeadFeatures', 'Solvers', 'pip', 'Linux', 'CNFModel', 'ParserTechnology', 'pyglucose', 'Interoperability', 'pyPicosat', 'setuptools', 'MiniSAT', 'AutomatedReasoning', 'PicoSAT-pycosat', 'python-sat', 'pycosat', 'MiniSAT-umo', 'umo', 'MiniSAT-satispy']",2.9225363731384277,11,10,True
23,60,"0",660,"0","MonteCarlo basic (sc:iters=10)",60,"['python-sat', 'Glucose', 'pip', 'ErrorDetection', 'CNFModel', 'wheel', 'System', 'APISolvers', 'PicoSAT', 'Linux', 'Lingeling-python-sat', 'Operations', 'ValidModel', 'MiniSAT', 'six', 'FeatureModel', 'Glucose-python-sat', 'Utils', 'umo', 'Lingeling-pylgl', 'Metamodels', 'setuptools', 'ErrorDiagnosis', 'Interoperability', 'Packages', 'pylgl', 'UVL', 'AAFMFramework', 'pycryptosat', 'SPLOT', 'DepMng', 'ValidProduct', 'pyglucose', 'MiniSAT-umo', 'PicoSAT-pycosat', 'pybind11', 'Solvers', 'ebnf', 'pydepqbf', 'lark-parser', 'Glucose-pyglucose', 'MiniSAT-satispy', 'AllProducts', 'satispy', 'pkg-resources', 'satyrn', 'AutomatedReasoning', 'DeadFeatures', 'pipdeptree', 'DecisionModel', 'FeatureIDE', 'Lingeling-satispy', 'pyPicosat', 'ValidConfiguration', 'SimpleParse', 'pycosat', 'antlr4-python3-runtime', 'ParserTechnology', 'Lingeling', 'PicoSAT-pyPicosat']",2.993499279022217,6,10,True
24,60,"0",660,"0","MonteCarlo basic (sc:iters=10)",60,"['pydepqbf', 'ErrorDiagnosis', 'APISolvers', 'pybind11', 'PicoSAT', 'Packages', 'pkg-resources', 'Interoperability', 'MiniSAT-python-sat', 'Lingeling-pylgl', 'FeatureIDE', 'Operations', 'MiniSAT', 'pycosat', 'Metamodels', 'SimpleParse', 'MiniSAT-umo', 'Solvers', 'pyPicosat', 'pip', 'AutomatedReasoning', 'pycryptosat', 'MiniSAT-satispy', 'pipdeptree', 'Glucose-pyglucose', 'FeatureModel', 'DepMng', 'ParserTechnology', 'six', 'UVL', 'lark-parser', 'ValidModel', 'System', 'Lingeling-python-sat', 'ErrorDetection', 'Glucose', 'Linux', 'DecisionModel', 'CNFModel', 'satyrn', 'wheel', 'Lingeling', 'ValidConfiguration', 'umo', 'ebnf', 'python-sat', 'satispy', 'AAFMFramework', 'antlr4-python3-runtime', 'CoreFeatures', 'DeadFeatures', 'Glucose-python-sat', 'setuptools', 'PicoSAT-pycosat', 'Utils', 'PicoSAT-pyPicosat', 'Lingeling-satispy', 'SPLOT', 'pylgl', 'pyglucose']",3.0825037956237793,6,10,True
25,53,"0",583,"0","MonteCarlo basic (sc:iters=10)",53,"['wheel', 'ValidConfiguration', 'DecisionModel', 'pylgl', 'ParserTechnology', 'Utils', 'satispy', 'pkg-resources', 'AutomatedReasoning', 'Metamodels', 'pyPicosat', 'ErrorDetection', 'umo', 'MiniSAT-satispy', 'PicoSAT', 'pip', 'Glucose', 'ebnf', 'pipdeptree', 'FeatureIDE', 'SPLOT', 'setuptools', 'DepMng', 'System', 'pyglucose', 'CNFModel', 'MiniSAT', 'six', 'FeatureModel', 'Interoperability', 'antlr4-python3-runtime', 'Packages', 'ErrorDiagnosis', 'ValidProduct', 'pycosat', 'UVL', 'Solvers', 'Glucose-pyglucose', 'Linux', 'PicoSAT-pycosat', 'lark-parser', 'pybind11', 'Operations', 'MiniSAT-python-sat', 'CoreFeatures', 'pydepqbf', 'AllProducts', 'ValidModel', 'satyrn', 'python-sat', 'DeadFeatures', 'AAFMFramework', 'APISolvers']",2.9147393703460693,20,10,True
26,59,"0",649,"0","MonteCarlo basic (sc:iters=10)",59,"['Lingeling-pylgl', 'pylgl', 'FeatureIDE', 'APISolvers', 'Utils', 'ebnf', 'System', 'DecisionModel', 'Operations', 'PicoSAT-pyPicosat', 'UVL', 'six', 'ErrorDetection', 'ParserTechnology', 'pycryptosat', 'wheel', 'setuptools', 'python-sat', 'pyglucose', 'Lingeling-satispy', 'SPLOT', 'Glucose-python-sat', 'MiniSAT-satispy', 'pyPicosat', 'MiniSAT-python-sat', 'AllProducts', 'Lingeling', 'ValidProduct', 'satyrn', 'Lingeling-python-sat', 'pkg-resources', 'Glucose', 'CNFModel', 'AAFMFramework', 'PicoSAT', 'satispy', 'MiniSAT-umo', 'ErrorDiagnosis', 'CoreFeatures', 'pybind11', 'Solvers', 'Glucose-pyglucose', 'ValidConfiguration', 'FeatureModel', 'pycosat', 'pip', 'DepMng', 'AutomatedReasoning', 'MiniSAT', 'Linux', 'PicoSAT-pycosat', 'umo', 'Interoperability', 'pipdeptree', 'Packages', 'ValidModel', 'Metamodels', 'lark-parser', 'DeadFeatures']",3.2186741828918457,8,10,True
27,48,"0",528,"0","MonteCarlo basic (sc:iters=10)",48,"['ErrorDetection', 'pybind11', 'Linux', 'antlr4-python3-runtime', 'Interoperability', 'MiniSAT-satispy', 'ValidConfiguration', 'ValidModel', 'FeatureModel', 'System', 'PicoSAT-pycosat', 'PicoSAT-pyPicosat', 'DecisionModel', 'satispy', 'Solvers', 'pip', 'pylgl', 'pyPicosat', 'ebnf', 'pycosat', 'UVL', 'CNFModel', 'SPLOT', 'AAFMFramework', 'Packages', 'wheel', 'SimpleParse', 'ValidProduct', 'pkg-resources', 'six', 'AutomatedReasoning', 'ParserTechnology', 'Metamodels', 'Utils', 'DeadFeatures', 'DepMng', 'setuptools', 'Glucose-pyglucose', 'CoreFeatures', 'MiniSAT', 'Glucose', 'Operations', 'PicoSAT', 'APISolvers', 'pyglucose', 'lark-parser', 'pipdeptree', 'FeatureIDE']",2.782583236694336,30,10,True
