Method, Sample size, Current Sample, Valid configs, Defective configs, Visit configs, Evaluated configs, Time (s)
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 49, 49, 49, 12309, 1568, 1.98250412940979, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 50, 50, 50, 12595, 1616, 2.614179849624634, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 51, 51, 51, 12804, 1647, 1.4652421474456787, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 52, 52, 52, 13013, 1655, 1.088122844696045, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 53, 53, 53, 13310, 1667, 1.814202070236206, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 54, 54, 54, 13519, 1678, 1.4570832252502441, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 55, 55, 55, 13728, 1688, 1.3845789432525635, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 56, 56, 56, 13926, 1698, 1.5383586883544922, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 57, 57, 57, 14201, 1711, 1.7666349411010742, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 58, 58, 58, 14410, 1719, 1.4825940132141113, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 59, 59, 59, 14619, 1725, 1.4226019382476807, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 60, 60, 60, 14828, 1742, 1.547499418258667, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 61, 61, 61, 15114, 1755, 1.7214250564575195, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 62, 62, 62, 15411, 1779, 1.7414090633392334, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 63, 63, 63, 15719, 1787, 1.7772462368011475, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 64, 64, 64, 16027, 1804, 2.094597578048706, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 65, 65, 65, 16236, 1811, 1.1714303493499756, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 66, 66, 66, 16445, 1825, 1.5061533451080322, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 67, 67, 67, 16643, 1842, 1.208326816558838, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 68, 68, 68, 16852, 1862, 1.5264873504638672, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 69, 69, 69, 17061, 1875, 1.1185295581817627, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 70, 70, 70, 17248, 1893, 1.439208745956421, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 71, 71, 71, 17457, 1902, 1.5009675025939941, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 72, 72, 72, 17710, 1939, 1.3274481296539307, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 73, 73, 73, 17875, 1949, 0.8447396755218506, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 74, 74, 74, 18161, 1975, 2.511479377746582, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 75, 75, 75, 18458, 1990, 1.9290525913238525, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 76, 76, 76, 18711, 2011, 1.2276341915130615, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 77, 77, 77, 18909, 2027, 1.470067024230957, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 78, 78, 78, 19217, 2075, 2.6433045864105225, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 79, 79, 79, 19481, 2089, 1.8142163753509521, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 80, 80, 80, 19679, 2095, 1.2791414260864258, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 81, 81, 81, 19932, 2110, 1.145597219467163, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 82, 82, 82, 20141, 2115, 1.4082584381103516, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 83, 83, 83, 20394, 2125, 1.3241112232208252, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 84, 84, 84, 20647, 2158, 1.948023796081543, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 85, 85, 85, 20944, 2189, 2.0306711196899414, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 86, 86, 86, 21219, 2203, 1.806945562362671, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 87, 87, 87, 21494, 2218, 1.9353978633880615, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 88, 87, 87, 21802, 2227, 2.013711929321289, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 89, 88, 88, 22000, 2238, 1.518634557723999, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 90, 89, 89, 22187, 2244, 1.3196847438812256, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 91, 90, 90, 22396, 2254, 1.5160484313964844, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 92, 91, 91, 22605, 2273, 1.6068229675292969, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 93, 92, 92, 22869, 2284, 1.8555011749267578, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 94, 93, 93, 23067, 2286, 1.382904291152954, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 95, 94, 94, 23265, 2289, 1.5339372158050537, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 96, 95, 95, 23463, 2295, 1.220700979232788, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 97, 96, 96, 23639, 2300, 1.1598613262176514, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 98, 97, 97, 23826, 2321, 1.400374174118042, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 99, 98, 98, 24134, 2336, 2.0748345851898193, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 100, 99, 99, 24387, 2347, 1.3844280242919922, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 101, 100, 100, 24684, 2351, 1.754380226135254, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 102, 101, 101, 24849, 2360, 1.1988372802734375, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 103, 102, 102, 25047, 2364, 1.2238590717315674, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 104, 103, 103, 25234, 2370, 1.2671730518341064, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 105, 104, 104, 25432, 2381, 1.5191655158996582, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 106, 105, 105, 25597, 2385, 0.8307998180389404, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 107, 106, 106, 25740, 2391, 0.9510293006896973, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 108, 107, 107, 25938, 2403, 1.3614888191223145, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 109, 108, 108, 26136, 2411, 1.4381797313690186, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 110, 109, 109, 26334, 2417, 1.4122459888458252, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 111, 110, 110, 26532, 2425, 1.320448637008667, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 112, 111, 111, 26730, 2436, 1.2232918739318848, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 113, 112, 112, 27016, 2446, 1.5967302322387695, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 114, 113, 113, 27159, 2455, 0.9579422473907471, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 115, 114, 114, 27434, 2476, 1.955836296081543, 
