Method, Sample size, Valid configs, Defective configs, Visit configs, Evaluated configs, Time (s)
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 637, 319, 2338, 637, 0.26129674911499023, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 643, 322, 2378, 643, 0.3191511631011963, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 653, 326, 2416, 653, 0.2882258892059326, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 655, 326, 2456, 655, 0.27230048179626465, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 660, 329, 2496, 660, 0.28630709648132324, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 666, 332, 2548, 666, 0.35262036323547363, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 678, 340, 2586, 678, 0.22938227653503418, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 680, 340, 2624, 680, 0.2800891399383545, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 686, 343, 2664, 686, 0.3160521984100342, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 692, 347, 2704, 692, 0.2991025447845459, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 700, 350, 2742, 700, 0.2515897750854492, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 704, 353, 2794, 704, 0.34160876274108887, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 708, 353, 2832, 708, 0.2877631187438965, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 718, 357, 2886, 718, 0.4319303035736084, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 740, 367, 2940, 740, 0.45979976654052734, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 747, 369, 2978, 747, 0.2514338493347168, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 760, 375, 3016, 760, 0.2539784908294678, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 765, 378, 3054, 765, 0.2593080997467041, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 767, 378, 3094, 767, 0.32213830947875977, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 777, 385, 3144, 777, 0.31119608879089355, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 785, 388, 3182, 785, 0.26734280586242676, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 787, 389, 3220, 787, 0.2403571605682373, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 790, 391, 3260, 790, 0.3201432228088379, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 795, 395, 3300, 795, 0.2732970714569092, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 799, 397, 3340, 799, 0.2855520248413086, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 804, 399, 3392, 804, 0.3037736415863037, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 809, 402, 3428, 809, 0.3141450881958008, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 812, 402, 3482, 812, 0.3540794849395752, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 816, 403, 3522, 816, 0.2965056896209717, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 818, 405, 3574, 818, 0.42190098762512207, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 821, 408, 3624, 821, 0.31618213653564453, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 833, 409, 3680, 833, 0.46581101417541504, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 838, 412, 3718, 838, 0.3002023696899414, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 845, 417, 3772, 845, 0.3061792850494385, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 847, 419, 3812, 847, 0.28324222564697266, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 850, 421, 3852, 850, 0.33214712142944336, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 852, 423, 3892, 852, 0.24665236473083496, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 856, 425, 3930, 856, 0.2553231716156006, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 864, 427, 3970, 864, 0.3231337070465088, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 867, 427, 4024, 867, 0.3760228157043457, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 874, 428, 4062, 874, 0.25332045555114746, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 877, 429, 4116, 877, 0.3421154022216797, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 879, 429, 4156, 879, 0.3132669925689697, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 882, 430, 4194, 882, 0.25232410430908203, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 884, 432, 4246, 884, 0.31333208084106445, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 892, 432, 4298, 892, 0.43384313583374023, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 897, 436, 4336, 897, 0.2543220520019531, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 903, 439, 4374, 903, 0.24737143516540527, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 904, 440, 4426, 904, 0.4078805446624756, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 913, 444, 4464, 913, 0.27228212356567383, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 922, 447, 4504, 922, 0.32117533683776855, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 926, 448, 4542, 926, 0.2703721523284912, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 930, 450, 4582, 930, 0.28631138801574707, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 938, 452, 4622, 938, 0.32221126556396484, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 958, 457, 4678, 958, 0.48982810974121094, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 961, 458, 4716, 961, 0.2672851085662842, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 966, 458, 4756, 966, 0.2465810775756836, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 971, 460, 4808, 971, 0.4238626956939697, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 974, 461, 4848, 974, 0.27320051193237305, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 991, 467, 4902, 991, 0.4258615970611572, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1002, 471, 4958, 1002, 0.4996352195739746, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1004, 472, 5010, 1004, 0.3335449695587158, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1006, 473, 5050, 1006, 0.2962031364440918, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1017, 479, 5102, 1017, 0.4594724178314209, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1020, 479, 5142, 1020, 0.32377147674560547, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1029, 485, 5180, 1029, 0.23337531089782715, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1031, 485, 5220, 1031, 0.2663154602050781, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1034, 486, 5260, 1034, 0.3291473388671875, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1037, 488, 5300, 1037, 0.28623437881469727, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1041, 490, 5340, 1041, 0.26031041145324707, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1046, 491, 5378, 1046, 0.27083468437194824, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1048, 492, 5432, 1048, 0.3615255355834961, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1053, 493, 5484, 1053, 0.4448094367980957, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1064, 496, 5538, 1064, 0.46774840354919434, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1070, 500, 5578, 1070, 0.3361063003540039, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1072, 500, 5616, 1072, 0.3371262550354004, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1082, 504, 5668, 1082, 0.3710505962371826, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1088, 507, 5708, 1088, 0.32712459564208984, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1090, 509, 5762, 1090, 0.3680129051208496, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1103, 513, 5818, 1103, 0.4547562599182129, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1106, 515, 5872, 1106, 0.31914591789245605, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1110, 515, 5912, 1110, 0.31116509437561035, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1115, 516, 5950, 1115, 0.2702765464782715, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1120, 519, 6002, 1120, 0.34865474700927734, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1121, 519, 6042, 1121, 0.2922184467315674, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1121, 519, 6082, 1121, 0.26828479766845703, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1125, 521, 6120, 1125, 0.2543199062347412, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1128, 523, 6170, 1128, 0.303722620010376, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1130, 523, 6224, 1130, 0.377988338470459, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1131, 523, 6264, 1131, 0.279254674911499, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1134, 523, 6316, 1134, 0.33610057830810547, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1137, 524, 6356, 1137, 0.2768542766571045, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1138, 524, 6396, 1138, 0.2782554626464844, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1141, 525, 6436, 1141, 0.28926658630371094, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1148, 527, 6486, 1148, 0.4463462829589844, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1154, 532, 6540, 1154, 0.4384806156158447, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1159, 536, 6586, 1159, 0.4198760986328125, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1172, 542, 6638, 1172, 0.4627707004547119, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1172, 542, 6676, 1172, 0.23318123817443848, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1175, 544, 6716, 1175, 0.26828670501708984, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1180, 547, 6754, 1180, 0.23850059509277344, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1182, 548, 6792, 1182, 0.236053466796875, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1186, 551, 6844, 1186, 0.32114171981811523, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1187, 551, 6884, 1187, 0.2722663879394531, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1188, 551, 6924, 1188, 0.3332362174987793, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1189, 551, 6962, 1189, 0.2298126220703125, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1197, 555, 7002, 1197, 0.3121647834777832, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1198, 556, 7040, 1198, 0.3061807155609131, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1199, 556, 7080, 1199, 0.3132212162017822, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1201, 556, 7120, 1201, 0.3081479072570801, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1203, 557, 7160, 1203, 0.2652897834777832, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1208, 560, 7198, 1208, 0.2762904167175293, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1213, 562, 7238, 1213, 0.29247570037841797, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1215, 563, 7278, 1215, 0.33612895011901855, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1222, 567, 7318, 1222, 0.2812478542327881, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1227, 569, 7356, 1227, 0.276289701461792, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1243, 575, 7412, 1243, 0.4868173599243164, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1254, 581, 7464, 1254, 0.45079827308654785, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1256, 582, 7504, 1256, 0.30898356437683105, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1261, 584, 7554, 1261, 0.3131887912750244, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1263, 584, 7594, 1263, 0.31418943405151367, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1270, 584, 7632, 1270, 0.28180956840515137, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1278, 587, 7686, 1278, 0.4527888298034668, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1284, 590, 7738, 1284, 0.33911895751953125, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1286, 590, 7776, 1286, 0.23636817932128906, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1289, 591, 7814, 1289, 0.2622971534729004, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1290, 592, 7852, 1290, 0.24038100242614746, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1292, 593, 7892, 1292, 0.27227163314819336, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1297, 597, 7946, 1297, 0.43876171112060547, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1300, 598, 8000, 1300, 0.3490939140319824, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1300, 598, 8038, 1300, 0.2463390827178955, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1304, 600, 8076, 1304, 0.29122471809387207, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1306, 601, 8128, 1306, 0.3101980686187744, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1308, 602, 8168, 1308, 0.27540159225463867, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1311, 603, 8206, 1311, 0.28027796745300293, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1312, 604, 8258, 1312, 0.3261268138885498, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1318, 606, 8312, 1318, 0.3416576385498047, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1322, 608, 8352, 1322, 0.32376766204833984, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1325, 608, 8392, 1325, 0.27227139472961426, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1329, 609, 8432, 1329, 0.2962508201599121, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1335, 611, 8486, 1335, 0.3979353904724121, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1345, 615, 8540, 1345, 0.40993285179138184, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1349, 618, 8578, 1349, 0.2680363655090332, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1356, 619, 8618, 1356, 0.2797267436981201, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1362, 624, 8672, 1362, 0.4498257637023926, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1371, 627, 8728, 1371, 0.5001533031463623, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1375, 628, 8766, 1375, 0.27227163314819336, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1376, 629, 8804, 1376, 0.22266507148742676, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1379, 630, 8860, 1379, 0.3692595958709717, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1390, 636, 8914, 1390, 0.46378564834594727, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1393, 637, 8954, 1393, 0.3065171241760254, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1396, 638, 8994, 1396, 0.2503025531768799, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1399, 639, 9046, 1399, 0.32674312591552734, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1403, 642, 9084, 1403, 0.2433488368988037, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1405, 644, 9136, 1405, 0.3037543296813965, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1411, 646, 9174, 1411, 0.26930856704711914, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1414, 646, 9214, 1414, 0.2918384075164795, 
