Method, Sample size, Valid configs, Defective configs, Visit configs, Evaluated configs, Time (s)
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1554, 702, 11216, 1554, 0.3341331481933594, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1561, 706, 11270, 1561, 0.43841981887817383, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1563, 706, 11310, 1563, 0.2842390537261963, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1572, 708, 11362, 1572, 0.4134814739227295, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1574, 709, 11400, 1574, 0.23537015914916992, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1575, 709, 11438, 1575, 0.23250842094421387, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1576, 709, 11478, 1576, 0.27429866790771484, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1577, 710, 11518, 1577, 0.30415916442871094, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1577, 710, 11556, 1577, 0.2274186611175537, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1582, 713, 11610, 1582, 0.43820714950561523, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1585, 714, 11648, 1585, 0.2732386589050293, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1586, 715, 11686, 1586, 0.23537015914916992, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1595, 719, 11742, 1595, 0.45507097244262695, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1601, 721, 11792, 1601, 0.4220414161682129, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1603, 721, 11848, 1603, 0.35363245010375977, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1604, 722, 11888, 1604, 0.2623004913330078, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1608, 724, 11926, 1608, 0.273240327835083, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1611, 724, 11964, 1611, 0.2574150562286377, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1614, 724, 12002, 1614, 0.28723621368408203, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1618, 726, 12056, 1618, 0.46276187896728516, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1620, 728, 12110, 1620, 0.3780190944671631, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1621, 729, 12164, 1621, 0.39095497131347656, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1621, 729, 12204, 1621, 0.30817508697509766, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1623, 729, 12242, 1623, 0.2518894672393799, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1628, 730, 12296, 1628, 0.3711214065551758, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1630, 730, 12336, 1630, 0.28025388717651367, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1630, 730, 12374, 1630, 0.23041200637817383, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1638, 733, 12428, 1638, 0.4483349323272705, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1640, 734, 12468, 1640, 0.2989952564239502, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1642, 735, 12508, 1642, 0.24939393997192383, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1643, 735, 12546, 1643, 0.2663264274597168, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1657, 737, 12602, 1657, 0.535567045211792, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1660, 738, 12640, 1660, 0.2333693504333496, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1662, 738, 12676, 1662, 0.2982668876647949, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1662, 738, 12714, 1662, 0.3231058120727539, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1663, 738, 12754, 1663, 0.3061809539794922, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1667, 740, 12806, 1667, 0.37899112701416016, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1671, 742, 12844, 1671, 0.27127814292907715, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1671, 742, 12882, 1671, 0.26631784439086914, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1676, 742, 12922, 1676, 0.35116124153137207, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1678, 742, 12960, 1678, 0.2451331615447998, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1683, 746, 12998, 1683, 0.2423844337463379, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1691, 751, 13054, 1691, 0.4678366184234619, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1694, 752, 13094, 1694, 0.3101980686187744, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1695, 752, 13134, 1695, 0.2908926010131836, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1700, 753, 13172, 1700, 0.2622685432434082, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1708, 758, 13224, 1708, 0.3879964351654053, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1709, 758, 13262, 1709, 0.24197006225585938, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1712, 758, 13300, 1712, 0.25831031799316406, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1715, 760, 13338, 1715, 0.22739195823669434, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1717, 761, 13376, 1717, 0.2154240608215332, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1717, 761, 13416, 1717, 0.3032231330871582, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1718, 762, 13456, 1718, 0.2842121124267578, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1719, 762, 13494, 1719, 0.29122090339660645, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1722, 762, 13532, 1722, 0.3151283264160156, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1723, 763, 13570, 1723, 0.23935985565185547, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1725, 765, 13610, 1725, 0.3062124252319336, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1729, 766, 13666, 1729, 0.3979358673095703, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1730, 766, 13706, 1730, 0.25731348991394043, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1733, 767, 13742, 1733, 0.260303258895874, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1737, 767, 13782, 1737, 0.3138587474822998, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1738, 767, 13820, 1738, 0.2622976303100586, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1741, 767, 13876, 1741, 0.36103177070617676, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1742, 767, 13922, 1742, 0.34102869033813477, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1750, 771, 13978, 1750, 0.4757561683654785, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1751, 771, 14018, 1751, 0.32213807106018066, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1754, 772, 14056, 1754, 0.28523707389831543, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1757, 772, 14096, 1757, 0.2999732494354248, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1759, 772, 14134, 1759, 0.25232481956481934, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1761, 772, 14172, 1761, 0.29308533668518066, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1763, 772, 14212, 1763, 0.2583048343658447, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1764, 773, 14252, 1764, 0.29421257972717285, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1767, 773, 14290, 1767, 0.2429203987121582, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1775, 776, 14342, 1775, 0.4299454689025879, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1780, 778, 14396, 1780, 0.45381665229797363, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1794, 788, 14450, 1794, 0.4527876377105713, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1800, 792, 14502, 1800, 0.3421964645385742, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1804, 793, 14542, 1804, 0.34418797492980957, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1813, 798, 14596, 1813, 0.429412841796875, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1816, 800, 14636, 1816, 0.2902507781982422, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1816, 800, 14676, 1816, 0.29124879837036133, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1818, 801, 14728, 1818, 0.3560476303100586, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1820, 801, 14766, 1820, 0.2622983455657959, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1823, 802, 14806, 1823, 0.3011946678161621, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1825, 802, 14844, 1825, 0.23437261581420898, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1825, 802, 14882, 1825, 0.2872605323791504, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1826, 803, 14922, 1826, 0.3510603904724121, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1830, 804, 14962, 1830, 0.2992277145385742, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1832, 805, 15002, 1832, 0.29523754119873047, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1834, 805, 15040, 1834, 0.23041558265686035, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1834, 805, 15080, 1834, 0.2903285026550293, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1836, 806, 15132, 1836, 0.3650949001312256, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1837, 807, 15184, 1837, 0.3261542320251465, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1844, 810, 15238, 1844, 0.45336198806762695, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1852, 814, 15292, 1852, 0.46733713150024414, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1854, 814, 15346, 1854, 0.36602258682250977, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1857, 815, 15386, 1857, 0.27828335762023926, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1858, 816, 15426, 1858, 0.23636865615844727, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1858, 816, 15478, 1858, 0.3401203155517578, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1859, 816, 15516, 1859, 0.2646021842956543, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1859, 816, 15556, 1859, 0.29118847846984863, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1861, 817, 15594, 1861, 0.31615400314331055, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1864, 820, 15648, 1864, 0.4228987693786621, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1867, 821, 15702, 1867, 0.38496899604797363, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1869, 821, 15748, 1869, 0.36602044105529785, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1870, 822, 15786, 1870, 0.242323637008667, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1871, 822, 15824, 1871, 0.27725791931152344, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1871, 822, 15864, 1871, 0.3261606693267822, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1875, 823, 15904, 1875, 0.25656652450561523, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1878, 824, 15956, 1878, 0.31418633460998535, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1881, 825, 15994, 1881, 0.28725767135620117, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1885, 827, 16032, 1885, 0.2573411464691162, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1888, 829, 16088, 1888, 0.4849393367767334, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1890, 829, 16126, 1890, 0.3022024631500244, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1900, 833, 16182, 1900, 0.4837348461151123, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1900, 833, 16232, 1900, 0.32413291931152344, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1903, 834, 16284, 1903, 0.33711767196655273, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1903, 834, 16336, 1903, 0.3620316982269287, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1905, 835, 16374, 1905, 0.25229692459106445, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1908, 836, 16414, 1908, 0.31117820739746094, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1910, 837, 16452, 1910, 0.2603309154510498, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1910, 837, 16492, 1910, 0.2862052917480469, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1912, 838, 16532, 1912, 0.30518460273742676, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1913, 839, 16572, 1913, 0.2852671146392822, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1915, 839, 16612, 1915, 0.29322195053100586, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1917, 840, 16652, 1917, 0.25032949447631836, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1917, 840, 16690, 1917, 0.24442529678344727, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1921, 842, 16730, 1921, 0.2353677749633789, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1925, 843, 16770, 1925, 0.2858250141143799, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1928, 844, 16808, 1928, 0.25133419036865234, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1930, 845, 16848, 1930, 0.3342099189758301, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1932, 845, 16888, 1932, 0.2712748050689697, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1936, 846, 16942, 1936, 0.41788268089294434, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1938, 847, 16980, 1938, 0.23094487190246582, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1943, 848, 17032, 1943, 0.43683743476867676, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1949, 852, 17086, 1949, 0.41561031341552734, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1954, 855, 17140, 1954, 0.4338078498840332, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1956, 857, 17178, 1956, 0.2981686592102051, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1961, 861, 17216, 1961, 0.2503323554992676, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1962, 861, 17256, 1962, 0.2812507152557373, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1962, 861, 17310, 1962, 0.3783559799194336, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1969, 862, 17362, 1969, 0.43284153938293457, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1969, 862, 17402, 1969, 0.3091731071472168, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1975, 865, 17456, 1975, 0.45481085777282715, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1977, 865, 17510, 1977, 0.4727351665496826, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1987, 869, 17566, 1987, 0.4757554531097412, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1987, 869, 17604, 1987, 0.24292874336242676, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1989, 869, 17642, 1989, 0.26587748527526855, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1992, 870, 17680, 1992, 0.26628708839416504, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2001, 875, 17734, 2001, 0.4797501564025879, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2002, 875, 17774, 2002, 0.25334978103637695, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2005, 875, 17812, 2005, 0.3260986804962158, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2006, 875, 17852, 2006, 0.3401176929473877, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2006, 875, 17892, 2006, 0.31914234161376953, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2008, 876, 17930, 2008, 0.2712743282318115, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2009, 877, 17968, 2009, 0.2732691764831543, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2011, 877, 18008, 2011, 0.33211421966552734, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2014, 879, 18048, 2014, 0.33321070671081543, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2017, 881, 18086, 2017, 0.24238038063049316, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2018, 881, 18126, 2018, 0.29324841499328613, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2018, 881, 18166, 2018, 0.2682821750640869, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2027, 883, 18220, 2027, 0.4055750370025635, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2032, 886, 18272, 2032, 0.39197754859924316, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2034, 887, 18310, 2034, 0.29618072509765625, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2035, 887, 18356, 2035, 0.37203121185302734, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2043, 889, 18408, 2043, 0.4707624912261963, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2048, 890, 18462, 2048, 0.4508237838745117, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2049, 891, 18502, 2049, 0.24437522888183594, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2051, 892, 18540, 2051, 0.2543215751647949, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2053, 893, 18578, 2053, 0.2812764644622803, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2057, 894, 18618, 2057, 0.35202932357788086, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2058, 894, 18656, 2058, 0.2611429691314697, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2060, 894, 18696, 2060, 0.3212568759918213, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2077, 900, 18752, 2077, 0.49773335456848145, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2078, 900, 18790, 2078, 0.30820345878601074, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2079, 900, 18830, 2079, 0.27226972579956055, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2080, 900, 18868, 2080, 0.25830864906311035, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2081, 901, 18918, 2081, 0.31417012214660645, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2083, 902, 18958, 2083, 0.36005139350891113, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2085, 902, 18994, 2085, 0.2642960548400879, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2085, 902, 19034, 2085, 0.2668464183807373, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2085, 902, 19074, 2085, 0.3151867389678955, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2087, 904, 19114, 2087, 0.2592785358428955, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2092, 904, 19166, 2092, 0.4054901599884033, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2093, 904, 19206, 2093, 0.2513277530670166, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2098, 905, 19260, 2098, 0.45680999755859375, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2100, 907, 19312, 2100, 0.3153519630432129, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2100, 907, 19352, 2100, 0.2863585948944092, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2101, 907, 19392, 2101, 0.2962062358856201, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2103, 909, 19444, 2103, 0.33011627197265625, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2105, 909, 19482, 2105, 0.2712974548339844, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2105, 909, 19520, 2105, 0.2712726593017578, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2106, 909, 19558, 2106, 0.2373647689819336, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2107, 909, 19596, 2107, 0.24534368515014648, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2109, 910, 19636, 2109, 0.2786097526550293, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2111, 911, 19674, 2111, 0.27426862716674805, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2111, 911, 19714, 2111, 0.2665379047393799, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2112, 911, 19754, 2112, 0.2677884101867676, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2112, 911, 19794, 2112, 0.25702595710754395, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2114, 911, 19846, 2114, 0.3042128086090088, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2116, 911, 19898, 2116, 0.3401315212249756, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2117, 912, 19948, 2117, 0.3051791191101074, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2120, 913, 19988, 2120, 0.3171510696411133, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2121, 914, 20028, 2121, 0.30317163467407227, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2121, 914, 20068, 2121, 0.29421281814575195, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2122, 915, 20106, 2122, 0.28127002716064453, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2124, 916, 20146, 2124, 0.3261570930480957, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2125, 916, 20186, 2125, 0.263272762298584, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2130, 917, 20240, 2130, 0.46080994606018066, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2134, 920, 20292, 2134, 0.379955530166626, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2136, 920, 20330, 2136, 0.2742652893066406, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2139, 922, 20368, 2139, 0.24733734130859375, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2141, 922, 20406, 2141, 0.25229644775390625, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2142, 922, 20446, 2142, 0.2433938980102539, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2143, 922, 20484, 2143, 0.3012211322784424, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2147, 923, 20522, 2147, 0.30633997917175293, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2148, 923, 20562, 2148, 0.3151566982269287, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2151, 924, 20602, 2151, 0.2812199592590332, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2151, 924, 20654, 2151, 0.3615093231201172, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2156, 926, 20692, 2156, 0.28822875022888184, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2165, 931, 20746, 2165, 0.4497969150543213, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2168, 931, 20784, 2168, 0.24736618995666504, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2168, 931, 20824, 2168, 0.275235652923584, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2169, 931, 20864, 2169, 0.2593345642089844, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2172, 932, 20904, 2172, 0.30031347274780273, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2172, 932, 20944, 2172, 0.27426671981811523, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2175, 933, 20998, 2175, 0.425945520401001, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2176, 933, 21050, 2176, 0.35106444358825684, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2177, 933, 21090, 2177, 0.30216145515441895, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2178, 933, 21130, 2178, 0.2869091033935547, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2187, 939, 21186, 2187, 0.4902510643005371, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2187, 939, 21226, 2187, 0.312671422958374, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2189, 940, 21266, 2189, 0.24633526802062988, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2196, 943, 21320, 2196, 0.4658534526824951, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2198, 943, 21358, 2198, 0.2702770233154297, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2198, 943, 21396, 2198, 0.25631284713745117, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2204, 945, 21448, 2204, 0.41893720626831055, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2208, 946, 21488, 2208, 0.2543525695800781, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2210, 947, 21526, 2210, 0.25335049629211426, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2212, 948, 21564, 2212, 0.2762629985809326, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2213, 948, 21602, 2213, 0.29819655418395996, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2216, 949, 21656, 2216, 0.48074889183044434, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2220, 951, 21692, 2220, 0.3211514949798584, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2227, 953, 21746, 2227, 0.4947047233581543, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2227, 953, 21786, 2227, 0.28527235984802246, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2228, 954, 21826, 2228, 0.30591750144958496, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2229, 954, 21864, 2229, 0.261272668838501, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2232, 955, 21918, 2232, 0.35205817222595215, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 2234, 957, 21956, 2234, 0.2513248920440674, 
