Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
ErrorDiagnosis, 7, 14, 2.0, 1.0, RED
Metamodels, 7, 14, 2.0, 1.0, RED
SimpleParse, 7, 14, 2.0, 1.0, RED
Solvers, 7, 14, 2.0, 1.0, RED
System, 6, 12, 2.0, 1.0, RED
Utils, 7, 14, 2.0, 1.0, RED
antlr4-python3-runtime, 7, 14, 2.0, 1.0, RED
ebnf, 7, 14, 2.0, 1.0, RED
pipdeptree, 2, 3, 1.5, 0.0, BLUE
pkg-resources, 7, 14, 2.0, 1.0, RED
pycosat, 2, 3, 1.5, 0.0, BLUE
pycryptosat, 6, 12, 2.0, 1.0, RED
pyglucose, 6, 12, 2.0, 1.0, RED
pylgl, 6, 12, 2.0, 1.0, RED
python-sat, 6, 12, 2.0, 1.0, RED
satyrn, 6, 12, 2.0, 1.0, RED
setuptools, 7, 14, 2.0, 1.0, RED
wheel, 7, 14, 2.0, 1.0, RED
