Iterations, Runs, Valid Configs, Invalid configs, Features min, Features max, Features median, Features mean, Features std, Rewards min, Rewards max, Rewards median, Rewards mean, Rewards std, Nodes min, Nodes max, Nodes median, Nodes mean, Nodes std, Times min, Times max, Times median, Times mean, Times std
1, 30, 7, 0, 4, 62, 58.5, 53.766666666666666, 13.231840733450593, -1.0, 62.0, 8.0, 11.233333333333333, 13.77324576309356, 8, 123, 117.0, 107.36666666666666, 26.358906540730946, 0.047263383865356445, 0.8670763969421387, 0.7720656394958496, 0.7094682693481446, 0.18155738445579775
10, 30, 7, 0, 21, 61, 48.5, 43.7, 12.741866912418804, 4.0, 84.0, 28.0, 35.166666666666664, 22.845935778803096, 231, 646, 533.5, 479.1666666666667, 138.2052654651727, 1.689340353012085, 5.080438852310181, 3.7648746967315674, 3.503917598724365, 1.0346434713439683
25, 30, 7, 0, 14, 58, 37.5, 36.96666666666667, 12.112926504596118, 10.0, 84.0, 44.0, 46.233333333333334, 19.533672665837624, 364, 1469, 975.0, 959.8333333333334, 312.67324393248674, 2.555063486099243, 9.994873523712158, 6.485208034515381, 6.632057134310404, 2.1094148797996097
100, 30, 7, 0, 16, 47, 24.5, 26.266666666666666, 8.456514865957542, 32.0, 90.0, 49.5, 57.833333333333336, 17.9560446710818, 1616, 4747, 2474.5, 2652.9333333333334, 854.1080014617119, 7.978805780410767, 37.23895311355591, 16.12275791168213, 18.07287855943044, 8.253659829591028
