Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Greedy MCTS, 76, 11, 11, MediaSelection, 100, 0, 0, 505, 0.8536
Greedy MCTS, 77, 13, 13, ScreenSize, 100, 0, 0, 606, 0.7438
Greedy MCTS, 78, 15, 15, Video, 100, 0, 0, 707, 0.7502
Greedy MCTS, 79, 14, 14, TouchScreen, 100, 0, 0, 808, 0.7963
Greedy MCTS, 80, 13, 13, Screen3, 100, 0, 0, 909, 0.7871
Greedy MCTS, 81, 10, 10, OS, 100, 0, 0, 1010, 0.8495
Greedy MCTS, 82, 13, 13, CallManager, 100, 0, 0, 1111, 0.8955
Greedy MCTS, 83, 12, 12, Language, 100, 0, 0, 1212, 0.869
Greedy MCTS, 84, 14, 14, GPS, 100, 0, 0, 1313, 0.8652
Greedy MCTS, 85, 13, 13, Portuguese, 100, 0, 0, 1414, 0.8925
Greedy MCTS, 86, 12, 12, WindowsMobile, 100, 0, 0, 1515, 0.7843
Greedy MCTS, 87, 8, 8, MediaManagement, 100, 0, 0, 1616, 0.7037
Greedy MCTS, 88, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.9521
Greedy MCTS, 89, 14, 14, MediaSelection, 100, 0, 0, 202, 0.9192
Greedy MCTS, 90, 16, 16, Radio, 100, 0, 0, 303, 0.9262
Greedy MCTS, 91, 15, 15, Language, 100, 0, 0, 404, 0.871
Greedy MCTS, 92, 17, 17, CallManager, 100, 0, 0, 505, 0.8816
Greedy MCTS, 93, 16, 16, Speakerphone, 100, 0, 0, 606, 0.9089
Greedy MCTS, 94, 15, 15, Photo, 100, 0, 0, 707, 0.838
Greedy MCTS, 95, 14, 14, Video, 100, 0, 0, 808, 0.7436
Greedy MCTS, 96, 13, 13, MediaManagement, 100, 0, 0, 909, 0.7733
Greedy MCTS, 97, 15, 15, ScreenSize, 100, 0, 0, 1010, 0.8134
Greedy MCTS, 98, 17, 17, Calendar, 100, 0, 0, 1111, 0.7762
Greedy MCTS, 99, 16, 16, Spanish, 100, 0, 0, 1212, 0.7483
Greedy MCTS, 100, 15, 15, OS, 100, 0, 0, 1313, 0.7817
Greedy MCTS, 101, 18, 18, Screen1, 100, 0, 0, 1414, 0.7436
Greedy MCTS, 102, 15, 15, Symbia, 100, 0, 0, 1515, 0.7353
Greedy MCTS, 103, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.9604
Greedy MCTS, 104, 14, 14, Speakerphone, 100, 0, 0, 202, 0.9682
Greedy MCTS, 105, 13, 13, Calendar, 100, 0, 0, 303, 0.9357
Greedy MCTS, 106, 12, 12, MediaSelection, 100, 0, 0, 404, 0.9006
Greedy MCTS, 107, 14, 14, Music, 100, 0, 0, 505, 0.8792
Greedy MCTS, 108, 14, 14, TouchScreen, 100, 0, 0, 606, 0.8564
Greedy MCTS, 109, 13, 13, OS, 100, 0, 0, 707, 0.8235
Greedy MCTS, 110, 16, 16, CallManager, 100, 0, 0, 808, 0.8079
Greedy MCTS, 111, 15, 15, Language, 100, 0, 0, 909, 0.7957
Greedy MCTS, 112, 17, 17, ScreenSize, 100, 0, 0, 1010, 0.7811
Greedy MCTS, 113, 19, 19, Radio, 100, 0, 0, 1111, 0.8538
Greedy MCTS, 114, 18, 18, MusicPlayer, 100, 0, 0, 1212, 0.8364
Greedy MCTS, 115, 17, 17, WindowsMobile, 100, 0, 0, 1313, 0.7875
Greedy MCTS, 116, 13, 13, Screen1, 100, 0, 0, 1414, 0.8442
Greedy MCTS, 117, 10, 10, Video, 100, 0, 0, 1515, 0.7378
Greedy MCTS, 118, 9, 9, English, 100, 0, 0, 1616, 0.6195
Greedy MCTS, 119, 8, 8, MediaManagement, 100, 0, 0, 1717, 0.6928
Greedy MCTS, 120, 1, 1, MobileMedia2, 100, 0, 0, 101, 0.9962
Greedy MCTS, 121, 14, 14, ScreenSize, 100, 0, 0, 202, 0.969
Greedy MCTS, 122, 16, 16, MediaSelection, 100, 0, 0, 303, 0.9088
Greedy MCTS, 123, 18, 18, Video, 100, 0, 0, 404, 0.9442
Greedy MCTS, 124, 17, 17, Radio, 100, 0, 0, 505, 0.9011
Greedy MCTS, 125, 16, 16, Music, 100, 0, 0, 606, 0.8827
Greedy MCTS, 126, 16, 16, CallManager, 100, 0, 0, 707, 0.8523
Greedy MCTS, 127, 15, 15, TouchScreen, 100, 0, 0, 808, 0.9014
Greedy MCTS, 128, 14, 14, Calendar, 100, 0, 0, 909, 0.8486
