Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 750, 233, 177, 373, 2.1006762981414795, JHipster
1, 11, 750, 233, 177, 373, 0.9678614139556885, Docker
2, 10, 750, 233, 177, 373, 0.9202718734741211, Authentication
3, 13, 750, 233, 177, 373, 0.8773703575134277, Uaa
4, 8, 750, 233, 177, 373, 0.8299553394317627, TestingFrameworks
5, 10, 750, 233, 177, 373, 0.807664155960083, Gatling
6, 9, 750, 233, 177, 373, 0.7550175189971924, Cucumber
7, 8, 750, 233, 177, 373, 0.7210655212402344, Protractor
8, 7, 750, 233, 177, 373, 0.6691131591796875, Generator
9, 7, 750, 233, 177, 373, 0.6447813510894775, Application
10, 7, 750, 233, 177, 373, 0.6111576557159424, MicroserviceGateway
11, 6, 750, 233, 177, 373, 0.5739188194274902, BackEnd
12, 7, 750, 233, 177, 373, 0.5431523323059082, Gradle
13, 5, 750, 233, 177, 373, 0.5088417530059814, Database
14, 7, 750, 233, 177, 373, 0.46802616119384766, SQL
15, 8, 750, 233, 177, 373, 0.4310309886932373, Development
16, 11, 750, 233, 177, 373, 0.39784955978393555, Production
17, 13, 750, 233, 177, 373, 0.3600635528564453, Hibernate2ndLvlCache
18, 14, 750, 233, 177, 373, 0.3201172351837158, ElasticSearch
19, 13, 750, 233, 177, 373, 0.2791569232940674, MySQL
20, 8, 750, 233, 177, 373, 0.24067091941833496, H2
21, 8, 750, 233, 177, 373, 0.20601630210876465, DiskBased
22, 6, 750, 233, 177, 373, 0.17004108428955078, SpringWebSockets
23, 5, 750, 233, 177, 373, 0.1361839771270752, Libsass
24, 4, 750, 233, 177, 373, 0.10571742057800293, ClusteredSession
25, 3, 750, 233, 177, 373, 0.07081055641174316, InternationalizationSupport
26, 2, 750, 233, 177, 373, 0.0359044075012207, HazelCast
