Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 30, 23, 12, 31, 0.1830306053161621, JHipster
1, 11, 30, 19, 7, 62, 0.16126108169555664, InternationalizationSupport
2, 10, 30, 21, 8, 93, 0.15474629402160645, Generator
3, 11, 30, 18, 8, 124, 0.15201950073242188, BackEnd
4, 12, 30, 20, 10, 155, 0.14499402046203613, SocialLogin
5, 10, 30, 13, 3, 186, 0.14100933074951172, ClusteredSession
6, 9, 30, 13, 6, 217, 0.13291621208190918, TestingFrameworks
7, 11, 30, 11, 3, 248, 0.1232459545135498, Protractor
8, 10, 30, 11, 2, 279, 0.11290454864501953, Cucumber
9, 9, 30, 11, 7, 310, 0.10296821594238281, Maven
10, 7, 30, 9, 0, 341, 0.0829932689666748, Application
11, 7, 30, 8, 2, 372, 0.08297276496887207, Gatling
12, 6, 30, 5, 1, 403, 0.05999875068664551, Docker
13, 5, 30, 6, 1, 431, 0.052040815353393555, Authentication
14, 6, 30, 0, 0, 431, 0.010999679565429688, HTTPSession
15, 4, 30, 0, 0, 431, 0.008977651596069336, Monolithic
16, 3, 30, 0, 0, 431, 0.006982326507568359, Libsass
17, 2, 30, 0, 0, 431, 0.005017518997192383, Database
18, 3, 30, 0, 0, 431, 0.002992391586303711, MongoDB
