Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 10, 11, 6, 11, 0.07382941246032715, JHipster
1, 11, 10, 10, 4, 22, 0.07280611991882324, Libsass
2, 10, 10, 9, 6, 33, 0.060993194580078125, TestingFrameworks
3, 12, 10, 7, 4, 44, 0.06999993324279785, Gatling
4, 11, 10, 8, 3, 55, 0.04799675941467285, Protractor
5, 10, 10, 6, 2, 66, 0.044998884201049805, SocialLogin
6, 9, 10, 7, 3, 77, 0.042974233627319336, Cucumber
7, 8, 10, 5, 2, 88, 0.04600095748901367, Authentication
8, 9, 10, 7, 4, 99, 0.04304218292236328, BackEnd
9, 10, 10, 4, 2, 110, 0.04098248481750488, Gradle
10, 8, 10, 6, 3, 121, 0.028968334197998047, HTTPSession
11, 6, 10, 3, 3, 132, 0.02000117301940918, Database
12, 7, 10, 4, 1, 143, 0.02798748016357422, MongoDB
13, 5, 10, 2, 2, 154, 0.009005308151245117, Generator
14, 5, 10, 3, 3, 165, 0.006014347076416016, Application
15, 5, 10, 4, 4, 176, 0.0029926300048828125, Monolithic
