Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 80, 61, 30, 81, 0.4760453701019287, JHipster
1, 11, 80, 34, 20, 162, 0.44251513481140137, Docker
2, 10, 80, 27, 21, 243, 0.37343907356262207, Database
3, 12, 80, 28, 25, 324, 0.26999998092651367, Cassandra
4, 8, 80, 10, 10, 405, 0.24741840362548828, Generator
5, 9, 80, 12, 12, 486, 0.22364497184753418, Server
6, 6, 80, 4, 4, 567, 0.12002372741699219, MicroserviceApplication
7, 4, 80, 0, 0, 648, 0.08797812461853027, Authentication
8, 5, 80, 0, 0, 695, 0.058966636657714844, Uaa
9, 3, 80, 0, 0, 695, 0.0450747013092041, BackEnd
10, 4, 80, 0, 0, 695, 0.0369565486907959, Gradle
11, 2, 80, 0, 0, 695, 0.028501272201538086, TestingFrameworks
12, 3, 80, 0, 0, 695, 0.021946191787719727, Gatling
13, 2, 80, 0, 0, 695, 0.01396799087524414, Cucumber
