Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 20, 17, 13, 21, 0.1311943531036377, JHipster
1, 11, 20, 17, 7, 42, 0.12200284004211426, Database
2, 13, 20, 12, 6, 63, 0.109954833984375, SpringWebSockets
3, 12, 20, 15, 8, 84, 0.12593936920166016, BackEnd
4, 13, 20, 15, 8, 105, 0.11705183982849121, Maven
5, 11, 20, 14, 5, 126, 0.09601831436157227, Cassandra
6, 7, 20, 4, 1, 147, 0.05102252960205078, Generator
7, 7, 20, 4, 3, 168, 0.04898786544799805, Authentication
8, 9, 20, 4, 3, 189, 0.043021440505981445, Uaa
9, 6, 20, 4, 4, 210, 0.033914804458618164, Application
10, 6, 20, 0, 0, 231, 0.025986909866333008, MicroserviceGateway
11, 5, 20, 4, 4, 252, 0.020009517669677734, TestingFrameworks
12, 7, 20, 0, 0, 273, 0.015062570571899414, Gatling
13, 6, 20, 0, 0, 294, 0.01000070571899414, Cucumber
14, 5, 20, 0, 0, 313, 0.005983591079711914, Protractor
