Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 70, 44, 101, 0.5162267684936523, JHipster
1, 11, 100, 90, 59, 202, 0.25466084480285645, Database
2, 13, 100, 90, 59, 204, 0.0370023250579834, Cassandra
3, 9, 100, 90, 59, 204, 0.03404545783996582, Docker
4, 8, 100, 90, 59, 204, 0.0300140380859375, Generator
5, 9, 100, 90, 59, 204, 0.02696061134338379, Server
6, 6, 100, 90, 59, 204, 0.024024248123168945, MicroserviceApplication
7, 4, 100, 90, 59, 204, 0.021068096160888672, Authentication
8, 5, 100, 90, 59, 204, 0.01794290542602539, BackEnd
9, 6, 100, 90, 59, 204, 0.01601433753967285, Gradle
10, 4, 100, 90, 59, 204, 0.012996673583984375, TestingFrameworks
11, 5, 100, 90, 59, 204, 0.01000356674194336, Gatling
12, 4, 100, 90, 59, 204, 0.007010936737060547, Cucumber
13, 3, 100, 90, 59, 204, 0.006013393402099609, InternationalizationSupport
14, 2, 100, 90, 59, 204, 0.0019958019256591797, Uaa
