Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 90, 66, 39, 91, 0.5026874542236328, JHipster
1, 11, 90, 37, 15, 182, 0.45209169387817383, Database
2, 13, 90, 21, 15, 273, 0.35923051834106445, Cassandra
3, 9, 90, 19, 15, 364, 0.2849392890930176, Docker
4, 8, 90, 10, 10, 455, 0.2662515640258789, Generator
5, 9, 90, 15, 15, 546, 0.2360835075378418, Server
6, 6, 90, 4, 4, 637, 0.1309366226196289, MicroserviceApplication
7, 4, 90, 0, 0, 728, 0.09802031517028809, Authentication
8, 5, 90, 1, 1, 762, 0.06694555282592773, Uaa
9, 3, 90, 0, 0, 762, 0.05402398109436035, BackEnd
10, 4, 90, 0, 0, 762, 0.044976234436035156, Gradle
11, 2, 90, 0, 0, 762, 0.03515124320983887, TestingFrameworks
12, 3, 90, 0, 0, 762, 0.026944398880004883, Gatling
13, 2, 90, 0, 0, 762, 0.016918182373046875, Cucumber
