Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 250, 125, 65, 251, 1.327139139175415, JHipster
1, 11, 250, 137, 75, 307, 0.2659907341003418, InternationalizationSupport
2, 10, 250, 137, 75, 307, 0.13098835945129395, Docker
3, 9, 250, 137, 75, 307, 0.12094783782958984, BackEnd
4, 10, 250, 137, 75, 307, 0.10904932022094727, Database
5, 12, 250, 137, 75, 307, 0.09803056716918945, Cassandra
6, 8, 250, 137, 75, 307, 0.08601617813110352, Gradle
7, 6, 250, 137, 75, 307, 0.07591915130615234, Generator
8, 7, 250, 137, 75, 307, 0.06597542762756348, Server
9, 4, 250, 137, 75, 307, 0.0574336051940918, MicroserviceApplication
10, 2, 250, 137, 75, 307, 0.046845197677612305, Authentication
11, 3, 250, 137, 75, 307, 0.03792595863342285, TestingFrameworks
12, 4, 250, 137, 75, 307, 0.02892327308654785, Gatling
13, 3, 250, 137, 75, 307, 0.018979549407958984, Cucumber
14, 2, 250, 137, 75, 307, 0.009973287582397461, Uaa
