Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 1, 2, 1, 2, 0.012035846710205078, JHipster
1, 11, 1, 4, 1, 4, 0.015997886657714844, TestingFrameworks
2, 13, 1, 6, 2, 6, 0.008974313735961914, Database
3, 15, 1, 8, 4, 8, 0.009026050567626953, SpringWebSockets
4, 14, 1, 10, 5, 10, 0.007993698120117188, MongoDB
5, 11, 1, 11, 6, 12, 0.007012367248535156, Cucumber
6, 10, 1, 13, 7, 14, 0.006954193115234375, InternationalizationSupport
7, 9, 1, 15, 9, 16, 0.004998683929443359, ClusteredSession
8, 8, 1, 16, 10, 18, 0.006011009216308594, Protractor
9, 7, 1, 16, 10, 20, 0.0030226707458496094, Gatling
10, 6, 1, 17, 11, 22, 0.003960371017456055, Generator
11, 6, 1, 17, 11, 24, 0.003113269805908203, BackEnd
12, 7, 1, 18, 12, 26, 0.002938985824584961, Gradle
13, 5, 1, 18, 12, 28, 0.001996278762817383, SocialLogin
14, 4, 1, 18, 12, 30, 0.0019931793212890625, Libsass
15, 3, 1, 19, 13, 32, 0.0009982585906982422, Application
16, 3, 1, 20, 14, 34, 0.0009965896606445312, Monolithic
17, 2, 1, 20, 14, 36, 0.001049041748046875, Authentication
18, 3, 1, 20, 14, 38, 0.0, Docker
19, 2, 1, 20, 14, 40, 0.0, HTTPSession
