Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
PicoSAT, 1, 2, 2.0, 0.0, BLUE
pyglucose, 82, 165, 2.01, 1.0, RED
python-sat, 328, 660, 2.01, 1.0, RED
