Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
Glucose, 131, -124365000.0, -949351.15, 0.99, RED
MiniSAT, 229, -217377000.0, -949244.54, 1.0, RED
PicoSAT, 1, -969000, -969000.0, 0.0, BLUE
pycosat, 32, -30384000.0, -949500.0, 0.99, RED
pyglucose, 1, -969000, -969000.0, 0.0, BLUE
