Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
DeadFeatures, 1, 2, 2.0, 1.0, RED
DepMng, 1, 2, 2.0, 1.0, RED
ErrorDetection, 1, 2, 2.0, 1.0, RED
ErrorDiagnosis, 1, 2, 2.0, 1.0, RED
Glucose, 1, 2, 2.0, 1.0, RED
Lingeling, 1, 2, 2.0, 1.0, RED
Linux, 1, 2, 2.0, 1.0, RED
Metamodels, 34, 67, 1.97, 0.35, GREEN
MiniSAT, 1, 2, 2.0, 1.0, RED
PicoSAT, 1, 2, 2.0, 1.0, RED
SPLOT, 22, 43, 1.95, 0.0, BLUE
SimpleParse, 1, 2, 2.0, 1.0, RED
Utils, 1, 2, 2.0, 1.0, RED
ValidModel, 52, 104, 2.0, 1.0, RED
ValidProduct, 1, 2, 2.0, 1.0, RED
ebnf, 1, 2, 2.0, 1.0, RED
