Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
APISolvers, 7, 7, 1.0, 1.0, RED
AllProducts, 8, 8, 1.0, 1.0, RED
CoreFeatures, 8, 8, 1.0, 1.0, RED
DeadFeatures, 8, 8, 1.0, 1.0, RED
DepMng, 8, 8, 1.0, 1.0, RED
ErrorDetection, 8, 8, 1.0, 1.0, RED
ErrorDiagnosis, 8, 8, 1.0, 1.0, RED
Glucose, 7, 7, 1.0, 1.0, RED
Lingeling, 7, 7, 1.0, 1.0, RED
Linux, 7, 7, 1.0, 1.0, RED
MiniSAT, 7, 7, 1.0, 1.0, RED
ParserTechnology, 7, 7, 1.0, 1.0, RED
PicoSAT, 7, 7, 1.0, 1.0, RED
Utils, 8, 8, 1.0, 1.0, RED
Win, 7, 7, 1.0, 1.0, RED
