Run, Algorithm, StoppingCondition, Exploration Weight, ExecutionTime, Features, Valid Config, Reward, Nodes, Simulations, Configuration
10, "UCT Algorithm", 1, 0.5, 0.2733328342437744, 50, True, 3, 100, 50, "['lark-parser', 'wheel', 'MiniSAT', 'ParserTechnology', 'ValidConfiguration', 'CoreFeatures', 'ErrorDiagnosis', 'pycryptosat', 'pyglucose', 'FeatureIDE', 'pydepqbf', 'pipdeptree', 'ValidModel', 'setuptools', 'UVL', 'SPLOT', 'System', 'pycosat', 'SimpleParse', 'Glucose', 'python-sat', 'antlr4-python3-runtime', 'Solvers', 'Operations', 'Linux', 'umo', 'AutomatedReasoning', 'pybind11', 'ValidProduct', 'DepMng', 'AllProducts', 'six', 'CNFModel', 'PicoSAT', 'pip', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'pyPicosat', 'satyrn', 'ErrorDetection', 'pylgl', 'ebnf', 'AAFMFramework', 'pkg-resources']"
11, "UCT Algorithm", 1, 0.5, 0.2623264789581299, 49, True, 4, 98, 49, "['lark-parser', 'wheel', 'MiniSAT', 'Win', 'DecisionModel', 'ValidConfiguration', 'ParserTechnology', 'CoreFeatures', 'ErrorDiagnosis', 'pycryptosat', 'FeatureIDE', 'pyglucose', 'pipdeptree', 'ValidModel', 'UVL', 'SPLOT', 'setuptools', 'System', 'pycosat', 'SimpleParse', 'Glucose', 'antlr4-python3-runtime', 'python-sat', 'Solvers', 'Operations', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'AllProducts', 'FeatureModel', 'ValidProduct', 'DepMng', 'six', 'PicoSAT', 'pip', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'satyrn', 'ErrorDetection', 'ebnf', 'pylgl', 'AAFMFramework', 'pkg-resources']"
12, "UCT Algorithm", 1, 0.5, 0.254349946975708, 44, True, 9, 88, 44, "['wheel', 'MiniSAT', 'Win', 'ValidConfiguration', 'ParserTechnology', 'CoreFeatures', 'pycryptosat', 'ErrorDiagnosis', 'FeatureIDE', 'pyglucose', 'pydepqbf', 'ValidModel', 'UVL', 'SPLOT', 'setuptools', 'System', 'pycosat', 'SimpleParse', 'Glucose', 'python-sat', 'Solvers', 'Operations', 'AutomatedReasoning', 'pybind11', 'ValidProduct', 'AllProducts', 'DepMng', 'six', 'CNFModel', 'PicoSAT', 'pip', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'satyrn', 'ErrorDetection', 'pylgl', 'AAFMFramework', 'pkg-resources']"
13, "UCT Algorithm", 1, 0.5, 0.2564687728881836, 43, True, 10, 86, 43, "['lark-parser', 'wheel', 'DecisionModel', 'Win', 'MiniSAT', 'ParserTechnology', 'ValidConfiguration', 'ErrorDiagnosis', 'FeatureIDE', 'pyglucose', 'pipdeptree', 'pydepqbf', 'ValidModel', 'UVL', 'setuptools', 'System', 'pycosat', 'SimpleParse', 'Glucose', 'antlr4-python3-runtime', 'python-sat', 'Solvers', 'Operations', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'six', 'AllProducts', 'FeatureModel', 'PicoSAT', 'pip', 'Utils', 'Lingeling', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'satyrn', 'pylgl', 'ebnf', 'AAFMFramework', 'pkg-resources']"
14, "UCT Algorithm", 1, 0.5, 0.21146225929260254, 43, True, 10, 86, 43, "['lark-parser', 'wheel', 'DecisionModel', 'Win', 'ParserTechnology', 'ValidConfiguration', 'pycryptosat', 'CoreFeatures', 'ErrorDiagnosis', 'FeatureIDE', 'pyglucose', 'pydepqbf', 'ValidModel', 'UVL', 'setuptools', 'System', 'pycosat', 'SimpleParse', 'antlr4-python3-runtime', 'Solvers', 'Operations', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'FeatureModel', 'six', 'AllProducts', 'ValidProduct', 'pip', 'PicoSAT', 'Utils', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'satyrn', 'ErrorDetection', 'pylgl', 'ebnf', 'AAFMFramework', 'pkg-resources']"
15, "UCT Algorithm", 1, 0.5, 0.22543096542358398, 44, True, 9, 88, 44, "['lark-parser', 'wheel', 'DecisionModel', 'MiniSAT', 'ParserTechnology', 'ValidConfiguration', 'pycryptosat', 'ErrorDiagnosis', 'CoreFeatures', 'pyglucose', 'pydepqbf', 'pipdeptree', 'ValidModel', 'UVL', 'SPLOT', 'setuptools', 'System', 'pycosat', 'SimpleParse', 'python-sat', 'Solvers', 'Operations', 'Linux', 'umo', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'FeatureModel', 'six', 'AllProducts', 'ValidProduct', 'pip', 'Utils', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'pyPicosat', 'satyrn', 'ErrorDetection', 'pylgl', 'AAFMFramework', 'pkg-resources']"
16, "UCT Algorithm", 1, 0.5, 0.27725863456726074, 45, True, 8, 90, 45, "['lark-parser', 'wheel', 'DecisionModel', 'MiniSAT', 'ParserTechnology', 'ValidConfiguration', 'CoreFeatures', 'ErrorDiagnosis', 'pycryptosat', 'pydepqbf', 'FeatureIDE', 'ValidModel', 'setuptools', 'SPLOT', 'System', 'pycosat', 'SimpleParse', 'python-sat', 'Glucose', 'Solvers', 'Operations', 'Linux', 'umo', 'AutomatedReasoning', 'pybind11', 'ValidProduct', 'DepMng', 'FeatureModel', 'AllProducts', 'six', 'CNFModel', 'PicoSAT', 'pip', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'pyPicosat', 'satyrn', 'ErrorDetection', 'AAFMFramework', 'pkg-resources']"
17, "UCT Algorithm", 1, 0.5, 0.24836444854736328, 44, True, 9, 88, 44, "['lark-parser', 'wheel', 'DecisionModel', 'Win', 'MiniSAT', 'ParserTechnology', 'ValidConfiguration', 'pycryptosat', 'ErrorDiagnosis', 'ValidModel', 'UVL', 'SPLOT', 'setuptools', 'System', 'pycosat', 'SimpleParse', 'Glucose', 'antlr4-python3-runtime', 'python-sat', 'Solvers', 'Operations', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'AllProducts', 'FeatureModel', 'ValidProduct', 'DepMng', 'six', 'PicoSAT', 'pip', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'satyrn', 'ErrorDetection', 'pylgl', 'AAFMFramework', 'pkg-resources']"
18, "UCT Algorithm", 1, 0.5, 0.2034456729888916, 39, True, 14, 78, 39, "['lark-parser', 'wheel', 'DecisionModel', 'ParserTechnology', 'pycryptosat', 'pyglucose', 'pipdeptree', 'FeatureIDE', 'setuptools', 'SPLOT', 'UVL', 'System', 'pycosat', 'SimpleParse', 'python-sat', 'antlr4-python3-runtime', 'Solvers', 'Linux', 'umo', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'FeatureModel', 'six', 'pip', 'PicoSAT', 'Utils', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'pyPicosat', 'satyrn', 'pylgl', 'ebnf', 'AAFMFramework', 'pkg-resources']"
19, "UCT Algorithm", 1, 0.5, 0.2403852939605713, 49, True, 4, 98, 49, "['lark-parser', 'wheel', 'DecisionModel', 'Win', 'MiniSAT', 'ParserTechnology', 'ValidConfiguration', 'CoreFeatures', 'ErrorDiagnosis', 'pipdeptree', 'pyglucose', 'pydepqbf', 'FeatureIDE', 'ValidModel', 'setuptools', 'UVL', 'SPLOT', 'System', 'pycosat', 'SimpleParse', 'python-sat', 'antlr4-python3-runtime', 'Glucose', 'Solvers', 'Operations', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'FeatureModel', 'ValidProduct', 'AllProducts', 'six', 'pip', 'PicoSAT', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'satyrn', 'ErrorDetection', 'pylgl', 'ebnf', 'AAFMFramework', 'pkg-resources']"
