Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
DepMng, 1, 1, 1.0, 0.7, ORANGE
Metamodels, 1, -1, -1.0, 0.0, BLUE
Operations, 29, 47, 1.62, 0.92, RED
ParserTechnology, 10, 15, 1.5, 0.87, RED
SPLOT, 5, 8, 1.6, 0.91, RED
Solvers, 2, 3, 1.5, 0.87, RED
System, 10, 15, 1.5, 0.87, RED
UVL, 4, 6, 1.5, 0.87, RED
Utils, 13, 21, 1.62, 0.91, RED
pyPicosat, 410, 764, 1.86, 1.0, RED
pycosat, 2, 3, 1.5, 0.87, RED
pycryptosat, 4, 6, 1.5, 0.87, RED
pydepqbf, 1, 1, 1.0, 0.7, ORANGE
pyglucose, 2, 1, 0.5, 0.52, YELLOW
python-sat, 7, 11, 1.57, 0.9, RED
satispy, 1, 1, 1.0, 0.7, ORANGE
satyrn, 2, 3, 1.5, 0.87, RED
umo, 11, 17, 1.55, 0.89, RED
