Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
DepMng, 5, 9, 1.8, 0.84, RED
Metamodels, 8, 15, 1.88, 0.92, RED
Operations, 9, 17, 1.89, 0.94, RED
SPLOT, 21, 40, 1.9, 0.95, RED
SimpleParse, 1, 1, 1.0, 0.0, BLUE
Solvers, 3, 5, 1.67, 0.7, ORANGE
System, 1, 1, 1.0, 0.0, BLUE
UVL, 2, 3, 1.5, 0.53, YELLOW
Utils, 6, 11, 1.83, 0.88, RED
antlr4-python3-runtime, 431, 840, 1.95, 1.0, RED
lark-parser, 9, 17, 1.89, 0.94, RED
pycosat, 1, 1, 1.0, 0.0, BLUE
pycryptosat, 8, 15, 1.88, 0.92, RED
pydepqbf, 3, 5, 1.67, 0.7, ORANGE
pyglucose, 2, 3, 1.5, 0.53, YELLOW
python-sat, 5, 9, 1.8, 0.84, RED
satispy, 9, 17, 1.89, 0.94, RED
satyrn, 36, 68, 1.89, 0.94, RED
umo, 6, 11, 1.83, 0.88, RED
